,Mean,Median,Std
GODREJPROP.NS,324.870454545,323.5,24.4910123956
GPPL.NS,138.377272727,136.6,8.48230342883
GRANULES.NS,112.594318182,111.75,7.08874161356
GRASIM.NS,875.452272727,862.25,48.8054192504
GREAVESCOT.NS,128.559090909,125.575,7.78617791963
GREENPLY.NS,258.0,255.175,11.643712746
GRINDWELL.NS,325.275,325.6,3.40680748052
GRUH.NS,330.980681818,330.4,14.7535617139
GSFC.NS,104.210227273,108.5,10.0425639478
GSKCONS.NS,5066.29545455,5063.05,64.2880299341
GSPL.NS,146.370454545,145.2,9.72842465665
GUJFLUORO.NS,478.377272727,477.75,7.79905670016
GUJGASLTD.NS,550.255681818,541.025,28.4051670208
GULFOILLUB.NS,660.194318182,662.5,22.3532350708
GVKPIL.NS,5.78863636364,5.75,0.37305521076
HATHWAY.NS,36.0204545455,36.3,1.3091945945
HAVELLS.NS,372.475,366.125,42.1437800592
HCC.NS,41.3136363636,41.875,2.15715045772
HCLTECH.NS,827.652272727,829.325,16.5860159456
HDFC.NS,1279.66931818,1252.975,67.8969963852
HDFCBANK.NS,1230.07613636,1223.425,48.7896308663
HDIL.NS,62.1579545455,62.6,3.5400030085
HEIDELBERG.NS,116.446590909,114.25,7.58218074514
HEROMOTOCO.NS,3118.56022727,3094.275,89.7122930958
HEXAWARE.NS,201.657954545,201.375,5.25411182481
HFCL.NS,13.2590909091,13.2,0.781417371078
HIMATSEIDE.NS,317.828409091,315.4,29.2155111672
HINDALCO.NS,173.790909091,173.775,13.3105320807
HINDCOPPER.NS,63.975,64.825,4.16536801467
HINDPETRO.NS,481.198863636,480.8,49.8536118547
HINDUNILVR.NS,834.452272727,831.875,22.2867385601
HINDZINC.NS,281.994318182,279.6,21.5460896358
HMVL.NS,270.317045455,270.25,5.27760674247
HONAUT.NS,9115.26363636,9228.725,468.808396222
HSIL.NS,286.126136364,286.025,6.46828118354
HTMEDIA.NS,76.9420454545,76.125,4.11665566429
IBREALEST.NS,76.6920454545,78.825,4.66219260701
IBULHSGFIN.NS,711.022727273,705.075,63.2770922348
ICICIBANK.NS,263.826136364,260.25,11.4261556773
ICIL.NS,170.677272727,170.075,10.9076432267
ICRA.NS,4033.14204545,3992.525,105.123585599
IDBI.NS,73.9465909091,73.825,5.26271878767
IDEA.NS,80.3875,74.55,14.3878102678
IDFC.NS,55.6477272727,55.625,2.26214948577
IDFCBANK.NS,62.2079545455,62.4,2.18562808763
IFCI.NS,28.0625,27.825,1.90015681727
IGARASHI.NS,725.222727273,722.8,20.8784423552
IGL.NS,927.309090909,924.875,39.0517415756
IIFL.NS,275.609090909,263.375,22.7059854642
INDHOTEL.NS,103.073863636,101.15,6.64986001458
INDIACEM.NS,131.460227273,130.4,17.8553248508
INDIANB.NS,245.8,244.875,27.1025013863
INDIGO.NS,859.461363636,847.325,38.1020445396
INDOCO.NS,266.594318182,268.15,6.09779044913
INDUSINDBK.NS,1176.43977273,1187.4,89.7596277012
INFIBEAM.NS,1190.05568182,1168.525,72.5309021679
INFRATEL.NS,339.405681818,348.0,19.7538198129
INFY.NS,970.348860909,971.399995,27.1731360615
INGERRAND.NS,672.753409091,668.975,13.0776855827
INOXLEISUR.NS,226.918181818,227.425,6.29490464775
INOXWIND.NS,187.642045455,185.075,6.82065896685
INTELLECT.NS,144.825,143.9,8.97645822836
IOB.NS,25.4375,25.175,1.13619750371
IOC.NS,344.757954545,348.85,31.4801763817
IPAPPM.NS,311.652272727,313.675,12.0056089341
IPCALAB.NS,538.093181818,537.35,10.1798169611
IRB.NS,212.651136364,214.075,15.7599193151
ITC.NS,248.347726136,247.15,16.091640321
ITDCEM.NS,157.127272727,160.325,8.18313249956
JAGRAN.NS,177.295454545,179.225,6.94312289986
JAICORPLTD.NS,70.7443181818,71.475,2.64296380298
JBCHEPHARM.NS,344.722727273,344.95,6.43087080929
JBFIND.NS,220.677272727,221.375,13.0359318029
JCHAC.NS,1419.37159091,1418.875,30.3009639837
JETAIRWAYS.NS,377.281818182,374.7,23.5635091627
JINDALPOLY.NS,339.305681818,343.4,11.1732613543
JINDALSTEL.NS,77.2693181818,76.725,7.04843884999
JISLJALEQS.NS,90.8863636364,93.025,5.0602344329
JKCEMENT.NS,716.069318182,716.725,44.3959093757
JKIL.NS,220.830681818,226.6,13.8736751553
JKLAKSHMI.NS,361.945454545,359.175,15.8347344805
JKTYRE.NS,120.051136364,119.025,6.65901634467
JMFINANCIL.NS,70.0659090909,70.075,3.35839407787
JMTAUTOLTD.NS,19.4738636364,19.2,0.979943557722
JPASSOCIAT.NS,9.76590909091,9.925,2.02501141907
JPINFRATEC.NS,8.18409090909,8.1,1.07675074998
JPPOWER.NS,4.33295454545,4.0,0.781244027461
JSWENERGY.NS,61.275,61.125,2.3096486192
JSWHL.NS,1430.18863636,1442.925,65.6192043852
JSWSTEEL.NS,4017.0,195.75,6618.92862498
JUBILANT.NS,668.465907955,686.199985,45.7675519276
JUBLFOOD.NS,862.020454545,846.2,51.7931758078
JUSTDIAL.NS,366.853409091,370.0,22.4322996927
JYOTHYLAB.NS,345.539772727,346.65,11.2841913474
KAJARIACER.NS,517.376136364,512.625,52.9027579716
KALPATPOWR.NS,261.261363636,265.9,18.1758460461
KANSAINER.NS,336.745453636,336.45,11.8374482662
KARURVYSYA.NS,84.4613636364,84.225,2.49601691157
KEC.NS,144.763636364,144.125,7.16181219463
KESORAMIND.NS,136.972727273,139.700005,8.59341603128
KITEX.NS,418.375,416.725,12.6776515506
KOLTEPATIL.NS,92.6386363636,91.725,7.26504744488
KOTAKBANK.NS,735.439772727,727.775,27.2412404943
KPIT.NS,136.139772727,135.65,3.28546091675
KPRMILL.NS,584.835227273,576.7,18.9251634491
KRBL.NS,326.854545455,315.225,36.6215637616
KSBPUMPS.NS,617.582954545,617.05,11.403502844
KSCL.NS,437.7,431.875,35.1097879416
KTKBANK.NS,115.659090909,116.225,4.71774572606
KWALITY.NS,133.193181818,136.075,8.46272669587
LAKSHVILAS.NS,140.665909091,139.775,3.58574005088
