,Beta,Alpha
TRITURBINE.NS,0.21,0.0
TTKPRESTIG.NS,0.27,-0.0
TUBEINVEST.NS,0.55,0.0
TV18BRDCST.NS,1.27,-0.0
TVSMOTOR.NS,1.14,0.0
TVSSRICHAK.NS,0.79,-0.0
TVTODAY.NS,0.8,-0.0
UBL.NS,1.23,-0.0
UCOBANK.NS,0.55,0.0
UFLEX.NS,1.41,-0.0
ULTRACEMCO.NS,1.2,-0.0
UNICHEMLAB.NS,0.24,0.0
UNIONBANK.NS,2.29,-0.0
UNITECH.NS,1.23,0.01
UPL.NS,1.0,-0.0
VAKRANGEE.NS,-0.02,0.0
VEDL.NS,2.16,-0.0
VGUARD.NS,0.8,0.0
VIDEOIND.NS,0.1,-0.0
VIJAYABANK.NS,1.06,0.01
VINATIORGA.NS,1.37,0.0
VIPIND.NS,1.35,0.0
VOLTAS.NS,1.07,-0.0
VRLLOG.NS,1.1,0.0
VSTIND.NS,0.85,0.0
VTL.NS,0.62,0.0
WABAG.NS,0.83,-0.0
WABCOINDIA.NS,0.64,0.0
WELCORP.NS,0.9,0.0
WELSPUNIND.NS,0.81,0.01
WHIRLPOOL.NS,1.52,-0.0
WIPRO.NS,0.2,0.0
WOCKPHARMA.NS,0.44,-0.0
WONDERLA.NS,-0.0,0.0
YESBANK.NS,1.18,0.0
ZEEL.NS,1.4,0.0
ZEELEARN.NS,1.41,0.0
ZENSARTECH.NS,0.51,-0.0
ZYDUSWELL.NS,0.12,-0.0
Nifty50,,
Nifty500,,
