,0,1,2
CAPLIPOINT.NS,345.084090909,343.775,10.843117044
CARBORUNIV,247.540909091,246.9,5.80060826785
CARBORUNIV.NS,247.738636364,246.9,6.05620366351
CARERATING,1348.35227273,1319.825,57.369264372
CARERATING.NS,1350.56136364,1331.0,56.7313320079
CASTROLIND,378.913636364,379.125,10.2640981073
CASTROLIND.NS,378.815909091,379.125,10.1558496674
CCL,261.077272727,261.7,5.55088425544
CCL.NS,261.068181818,261.7,5.5435622348
CEATLTD,1191.55227273,1192.95,45.6766624721
CEATLTD.NS,1191.68636364,1186.4,46.0803960533
CENTRALBK,83.5977272727,83.45,1.28428943414
CENTRALBK.NS,83.5818181818,83.275,1.28744352207
CENTURYPLY,167.668181818,166.0,6.58545557332
CENTURYPLY.NS,167.820454545,166.0,6.81422984313
CENTURYTEX,792.631818182,788.675,27.1525301174
CENTURYTEX.NS,793.784090909,788.675,28.7266650078
CERA,2022.56363636,2044.125,65.7296432036
CERA.NS,2024.13409091,2044.125,67.3541977098
CESC,630.572727273,628.0,11.2313838276
CESC.NS,631.627272727,628.0,12.673911405
CHAMBLFERT,73.0454545455,71.0,6.36506291988
CHAMBLFERT.NS,72.9545454545,71.0,6.19000555987
CHENNPETRO,283.225,274.8,22.8003537462
CHENNPETRO.NS,284.109090909,274.8,24.5041038174
CHOLAFIN,910.577272727,933.3,50.0424456201
CHOLAFIN.NS,911.511363636,933.3,50.77646608
CIPLA,570.031816364,568.125,8.365018734
CIPLA.NS,569.390910455,568.125,7.55916710381
COALINDIA,296.977272727,296.925,8.14459691295
COALINDIA.NS,296.440909091,296.925,7.68064413785
COFFEEDAY,197.315909091,197.2,1.98016271359
COFFEEDAY.NS,197.406818182,197.325,2.00643580312
COLPAL,901.868181818,901.225,7.18138376131
COLPAL.NS,901.284090909,901.225,7.65099412096
CONCOR,1121.84090909,1111.4,32.5413606279
CONCOR.NS,1123.55454545,1111.4,35.4608667913
COROMANDEL,288.606818182,280.75,14.9305479076
COROMANDEL.NS,290.5,280.75,19.0089076864
CORPBANK,42.2795454545,41.9,1.4057415507
CORPBANK.NS,42.2727272727,41.85,1.40887723558
CRISIL,2205.40454545,2203.05,33.3254654134
CRISIL.NS,2204.40681818,2203.05,32.6285563486
CROMPGREAV,59.4113636364,59.325,1.72557318415
CROMPGREAV.NS,59.3909090909,59.325,1.69899384536
CUB,132.020452727,130.975,3.2681258361
CUB.NS,132.024999091,130.975,3.28165393841
CUMMINSIND,805.652272727,807.65,14.9437475162
CUMMINSIND.NS,806.397727273,806.5,15.6866524797
CYIENT,494.120454545,491.65,10.7033779614
CYIENT.NS,494.061363636,491.65,10.7489637576
DABUR,273.297728182,275.02499,5.32399049432
DABUR.NS,273.209090909,274.52499,5.31078396518
