Symbol,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change
APOLLOHOSP,2016-11-01,2016-11-07,1296.95,0.01,1337.8,1280.55,-0.04,-0.01,-0.03,0.0
CENTURYTEX,2016-11-01,2016-11-07,991.59,0.01,1023.9,978.25,-0.05,-0.01,-0.03,0.0
CESC,2016-11-01,2016-11-07,606.16,0.03,628.6,596.35,-0.05,-0.01,-0.05,0.02
POLARIS,2016-11-01,2016-11-07,158.75,0.01,163.65,155.5,-0.05,-0.01,-0.02,-0.0
RECLTD,2016-11-01,2016-11-07,127.05,0.02,132.0,125.9,-0.05,-0.01,-0.03,0.02
PRESTIGE,2016-11-01,2016-11-07,185.74,0.02,192.0,182.1,-0.05,-0.01,-0.03,0.0
PNCINFRA,2016-11-01,2016-11-07,118.28,0.02,122.45,116.85,-0.05,-0.01,-0.03,0.02
RELIANCE,2016-11-01,2016-11-07,1021.08,0.01,1051.0,1001.15,-0.05,-0.01,-0.03,0.0
CIPLA,2016-11-01,2016-11-07,556.46,0.01,571.75,545.75,-0.05,-0.01,-0.03,0.0
CYIENT,2016-11-01,2016-11-07,470.27,0.02,485.15,459.55,-0.05,-0.01,-0.04,0.01
PEL,2016-11-01,2016-11-07,1669.18,0.03,1748.15,1664.3,-0.05,-0.01,-0.03,0.03
RAYMOND,2016-11-01,2016-11-07,626.76,0.01,643.05,611.45,-0.05,-0.01,-0.03,0.01
IFCI,2016-11-01,2016-11-07,24.95,0.02,25.9,24.55,-0.05,-0.01,-0.03,0.02
RIIL,2016-11-01,2016-11-07,405.06,0.02,418.35,398.4,-0.05,-0.01,-0.03,0.01
BAJAJELEC,2016-11-01,2016-11-07,255.39,0.01,260.85,249.35,-0.05,-0.01,-0.03,0.0
ZEELEARN,2016-11-01,2016-11-07,38.16,0.02,39.5,37.7,-0.05,-0.01,-0.03,0.02
WONDERLA,2016-11-01,2016-11-07,378.97,0.01,391.15,372.35,-0.05,-0.01,-0.03,-0.0
ADANIPOWER,2016-11-01,2016-11-07,26.22,0.02,27.15,25.8,-0.05,-0.01,-0.03,0.02
WELCORP,2016-11-01,2016-11-07,67.98,0.02,69.65,66.45,-0.05,-0.01,-0.04,0.01
VSTIND,2016-11-01,2016-11-07,2374.67,0.03,2462.6,2347.15,-0.05,-0.01,-0.04,0.03
VGUARD,2016-11-01,2016-11-07,206.11,0.03,214.7,204.4,-0.05,-0.01,-0.04,0.04
UCOBANK,2016-11-01,2016-11-07,33.61,0.01,34.65,33.0,-0.05,-0.01,-0.02,0.01
ANDHRABANK,2016-11-01,2016-11-07,53.96,0.02,56.3,53.5,-0.05,-0.01,-0.03,0.03
TIDEWATER,2016-11-01,2016-11-07,6057.55,0.01,6225.0,5950.15,-0.05,-0.01,-0.02,0.0
TEXRAIL,2016-11-01,2016-11-07,106.86,0.01,110.95,105.2,-0.05,-0.01,-0.02,0.01
AUROPHARMA,2016-11-01,2016-11-07,772.66,0.04,809.1,767.3,-0.05,-0.01,-0.06,0.05
TATAMOTORS,2016-11-01,2016-11-07,514.55,0.01,530.6,506.35,-0.05,-0.01,-0.03,0.0
CAPF,2016-11-01,2016-11-07,690.88,0.03,715.9,683.1,-0.05,-0.01,-0.05,0.04
SUNDARMFIN,2016-11-01,2016-11-07,1360.49,0.0,1397.1,1326.3,-0.05,-0.01,-0.02,-0.01
DBREALTY,2016-11-01,2016-11-07,46.55,0.02,48.15,45.85,-0.05,-0.01,-0.03,0.02
SRF,2016-11-01,2016-11-07,1741.88,0.02,1813.6,1719.0,-0.05,-0.01,-0.04,0.01
BANKINDIA,2016-11-01,2016-11-07,109.33,0.02,113.85,108.7,-0.05,-0.01,-0.04,0.02
BATAINDIA,2016-11-01,2016-11-07,466.2,0.02,483.85,460.65,-0.05,-0.01,-0.03,0.01
SOBHA,2016-11-01,2016-11-07,268.98,0.02,278.85,265.1,-0.05,-0.01,-0.02,0.02
SIEMENS,2016-11-01,2016-11-07,1134.79,0.01,1164.6,1107.15,-0.05,-0.01,-0.02,-0.0
SHOPERSTOP,2016-11-01,2016-11-07,358.46,0.01,366.8,350.05,-0.05,-0.01,-0.03,-0.0
SHK,2016-11-01,2016-11-07,311.56,0.02,321.25,306.95,-0.05,-0.01,-0.03,0.01
BOMDYEING,2016-11-01,2016-11-07,56.5,0.02,58.75,55.9,-0.05,-0.01,-0.03,0.03
RTNPOWER,2016-11-01,2016-11-07,8.18,0.01,8.45,8.0,-0.05,-0.01,-0.02,0.0
BANKBARODA,2016-11-01,2016-11-07,148.49,0.03,155.3,148.05,-0.05,-0.01,-0.03,0.04
JMTAUTOLTD,2016-11-01,2016-11-07,26.87,0.01,27.6,26.3,-0.05,-0.01,-0.03,0.0
LT,2016-11-01,2016-11-07,1434.76,0.01,1463.15,1398.0,-0.05,-0.01,-0.02,-0.0
FORTIS,2016-11-01,2016-11-07,172.35,0.01,178.65,169.1,-0.05,-0.01,-0.03,0.0
JAICORPLTD,2016-11-01,2016-11-07,70.35,0.02,72.9,69.45,-0.05,-0.01,-0.04,0.02
JAGRAN,2016-11-01,2016-11-07,189.0,0.02,194.65,186.0,-0.05,-0.01,-0.05,0.01
HEIDELBERG,2016-11-01,2016-11-07,140.73,0.02,145.05,137.9,-0.05,-0.01,-0.05,0.0
GDL,2016-11-01,2016-11-07,238.41,0.02,245.75,233.3,-0.05,-0.01,-0.03,0.01
EICHERMOT,2016-11-01,2016-11-07,24520.32,0.01,25321.0,24021.6,-0.05,-0.01,-0.03,0.0
EQUITAS,2016-11-01,2016-11-07,175.13,0.02,178.9,170.85,-0.05,-0.01,-0.03,0.01
GSPL,2016-11-01,2016-11-07,154.85,0.01,160.0,152.65,-0.05,-0.01,-0.02,0.01
LITL,2016-11-01,2016-11-07,4.07,0.01,4.2,4.0,-0.05,-0.01,-0.02,0.0
NETWORK18,2016-11-01,2016-11-07,41.12,0.01,42.25,40.3,-0.05,-0.01,-0.03,0.0
EROSMEDIA,2016-11-01,2016-11-07,187.49,0.02,195.95,185.85,-0.05,-0.01,-0.04,0.02
HINDCOPPER,2016-11-01,2016-11-07,59.96,0.02,61.9,58.95,-0.05,-0.01,-0.04,0.02
JPPOWER,2016-11-01,2016-11-07,4.35,0.02,4.5,4.3,-0.05,-0.01,-0.04,0.02
MCLEODRUSS,2016-11-01,2016-11-07,163.05,0.02,169.55,161.15,-0.05,-0.01,-0.04,0.01
ICRA,2016-11-01,2016-11-07,4220.12,0.01,4282.95,4082.25,-0.05,-0.01,-0.03,0.01
GRASIM,2016-11-01,2016-11-07,925.39,0.02,962.45,918.6,-0.05,-0.01,-0.03,0.02
KPIT,2016-11-01,2016-11-07,133.71,0.03,140.0,133.45,-0.05,-0.01,-0.05,0.01
EXIDEIND,2016-11-01,2016-11-07,195.12,0.02,202.95,193.35,-0.05,-0.01,-0.03,0.02
IDEA,2016-11-01,2016-11-07,73.96,0.02,76.6,73.2,-0.05,-0.01,-0.03,0.01
INDIACEM,2016-11-01,2016-11-07,153.15,0.02,159.9,151.5,-0.05,-0.01,-0.03,0.03
GPPL,2016-11-01,2016-11-07,166.92,0.02,169.1,160.25,-0.05,-0.01,-0.04,0.01
DHFL,2016-11-01,2016-11-07,313.19,0.04,329.05,312.2,-0.05,-0.01,-0.04,0.05
KTKBANK,2016-11-01,2016-11-07,117.31,0.02,122.05,116.45,-0.05,-0.01,-0.04,0.02
GUJFLUORO,2016-11-01,2016-11-07,506.03,0.01,522.7,490.5,-0.06,-0.02,-0.03,-0.0
SCHNEIDER,2016-11-01,2016-11-07,162.48,0.02,168.35,158.6,-0.06,-0.01,-0.03,0.01
GATI,2016-11-01,2016-11-07,140.37,0.03,143.6,135.8,-0.06,-0.01,-0.04,0.03
MARICO,2016-11-01,2016-11-07,266.12,0.01,276.0,258.85,-0.06,-0.02,-0.03,-0.01
JPINFRATEC,2016-11-01,2016-11-07,8.74,0.01,9.0,8.45,-0.06,-0.02,-0.02,-0.01
JSWENERGY,2016-11-01,2016-11-07,64.34,0.01,66.55,62.85,-0.06,-0.01,-0.02,0.0
