,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change
RELIGARE,2016-11-23,2016-12-06,269.0,0.01,273.75,268.25,-0.02,-0.0,-0.02,0.01
INDIGO,2016-11-23,2016-12-06,861.01,0.01,869.5,849.25,-0.02,-0.0,-0.03,0.02
DIVISLAB,2016-11-23,2016-12-06,1156.79,0.01,1177.7,1154.25,-0.02,-0.0,-0.03,0.02
GMDCLTD,2016-11-23,2016-12-06,102.38,0.02,100.25,98.25,-0.02,-0.0,-0.05,0.03
RAJESHEXPO,2016-11-23,2016-12-06,454.64,0.01,452.75,445.4,-0.02,-0.0,-0.02,0.02
PRISMCEM,2016-11-23,2016-12-06,90.31,0.02,90.75,89.05,-0.02,-0.0,-0.03,0.02
SKFINDIA,2016-11-23,2016-12-06,1256.97,0.02,1271.95,1252.65,-0.02,-0.0,-0.04,0.02
EVEREADY,2016-11-23,2016-12-06,215.87,0.01,218.55,214.4,-0.02,-0.0,-0.02,0.02
EMAMILTD,2016-11-23,2016-12-06,1067.27,0.02,1047.4,1025.45,-0.02,-0.0,-0.04,0.03
PVR,2016-11-23,2016-12-06,1119.45,0.02,1111.3,1085.2,-0.02,-0.0,-0.03,0.02
RELCAPITAL,2016-11-23,2016-12-06,430.06,0.02,438.35,429.0,-0.02,-0.0,-0.04,0.02
ICICIBANK,2016-11-23,2016-12-06,260.12,0.02,264.95,261.0,-0.02,-0.0,-0.02,0.04
DELTACORP,2016-11-23,2016-12-06,111.77,0.02,112.1,109.6,-0.02,-0.0,-0.04,0.02
GSKCONS,2016-11-23,2016-12-06,5055.51,0.01,5162.4,4998.5,-0.03,-0.0,-0.02,0.03
LALPATHLAB,2016-11-23,2016-12-06,1166.7,0.01,1204.0,1169.65,-0.03,-0.0,-0.02,0.02
MHRIL,2016-11-23,2016-12-06,401.74,0.02,408.15,395.2,-0.03,-0.0,-0.03,0.02
