,Beta,Alpha
BALRAMCHIN.NS,2.03,0.01
BANKBARODA.NS,0.4,-0.0
BANKINDIA.NS,-0.45,0.0
BASF.NS,-1.76,0.01
BATAINDIA.NS,2.61,-0.01
BBTC.NS,2.46,-0.0
BEL.NS,3.08,0.02
BEML.NS,-11.23,0.08
BERGEPAINT.NS,-6.11,0.01
BFUTILITIE.NS,0.75,-0.0
BGRENERGY.NS,3.95,0.02
BHARATFIN.NS,3.06,-0.0
BHARATFORG.NS,4.15,-0.0
BHARTIARTL.NS,1.46,-0.0
BHEL.NS,-0.09,0.01
BHUSANSTL.NS,-2.87,0.01
BIOCON.NS,-7.22,0.03
BIRLACORPN.NS,1.22,-0.0
BLISSGVS.NS,-1.04,-0.01
BLUEDART.NS,1.95,-0.0
BLUESTARCO.NS,-1.71,0.0
BOMDYEING.NS,-0.83,0.01
BOSCHLTD.NS,2.52,-0.0
BPCL.NS,3.12,-0.01
BRFL.NS,1.77,0.0
BRIGADE.NS,-1.81,0.01
BRITANNIA.NS,-0.94,0.0
CADILAHC.NS,1.75,-0.02
CAIRN.NS,0.87,0.0
CANBK.NS,-0.58,-0.0
CANFINHOME.NS,-2.85,0.0
CAPF.NS,-1.2,0.0
CAPLIPOINT.NS,14.64,0.02
CARBORUNIV.NS,-2.46,0.01
CARERATING.NS,6.33,0.0
CASTROLIND.NS,0.17,-0.0
CCL.NS,0.94,-0.0
CEATLTD.NS,5.98,-0.0
CENTRALBK.NS,-0.16,-0.0
CENTURYPLY.NS,-0.35,0.0
CENTURYTEX.NS,-2.36,0.01
CERA.NS,-1.51,0.0
CESC.NS,0.78,0.01
CHAMBLFERT.NS,-4.86,-0.0
CHENNPETRO.NS,1.65,0.01
CHOLAFIN.NS,0.72,0.0
CIPLA.NS,0.47,-0.01
COALINDIA.NS,2.05,-0.01
COFFEEDAY.NS,1.75,0.0
COLPAL.NS,0.27,-0.0
CONCOR.NS,0.36,0.01
COROMANDEL.NS,-0.33,0.03
CORPBANK.NS,1.73,-0.0
CRISIL.NS,1.54,-0.0
CROMPGREAV.NS,1.69,-0.0
CUB.NS,-1.38,0.0
CUMMINSIND.NS,4.44,0.0
CYIENT.NS,0.69,-0.0
DABUR.NS,3.07,-0.0
DALMIABHA.NS,0.64,0.0
DBCORP.NS,1.92,-0.01
DBREALTY.NS,2.42,-0.0
DCBBANK.NS,0.9,-0.0
DCMSHRIRAM.NS,13.56,0.01
DEEPAKFERT.NS,0.83,-0.0
DELTACORP.NS,2.14,0.01
DEN.NS,-2.07,0.0
DENABANK.NS,1.22,-0.0
DHANUKA.NS,-1.07,0.01
DHFL.NS,-2.09,0.01
DISHMAN.NS,-8.88,0.05
DISHTV.NS,0.3,0.0
DIVISLAB.NS,1.4,-0.0
DLF.NS,-1.44,-0.0
DREDGECORP.NS,-5.61,0.02
DRREDDY.NS,1.86,-0.02
DYNAMATECH.NS,2.03,-0.0
ECLERX.NS,0.14,0.0
EDELWEISS.NS,-1.53,0.01
EICHERMOT.NS,-1.05,0.01
EIDPARRY.NS,0.69,0.0
EIHOTEL.NS,2.0,0.0
EMAMILTD.NS,-0.49,0.0
ENGINERSIN.NS,4.43,0.0
EQUITAS.NS,-2.1,0.01
EROSMEDIA.NS,2.59,0.01
ESCORTS.NS,6.94,-0.0
ESSELPACK.NS,-2.34,0.0
EVEREADY.NS,1.47,0.0
EXIDEIND.NS,-1.56,-0.0
FAGBEARING.NS,-1.18,-0.0
FDC.NS,1.54,0.01
FEDERALBNK.NS,1.78,0.01
FINCABLES.NS,0.55,-0.01
FINPIPE.NS,1.84,-0.0
FLFL.NS,-1.58,-0.01
FORTIS.NS,-2.19,0.02
FSL.NS,0.0,0.0
GAIL.NS,3.0,-0.01
GATI.NS,0.07,0.0
GAYAPROJ.NS,-0.33,-0.0
GDL.NS,1.15,-0.0
GEPIL.NS,-8.53,0.03
GESHIP.NS,-0.16,0.0
GILLETTE.NS,0.09,0.0
GLAXO.NS,0.33,-0.0
GLENMARK.NS,0.62,0.0
GMDCLTD.NS,4.18,0.0
GMRINFRA.NS,1.73,0.0
GODFRYPHLP.NS,4.04,0.0
GODREJCP.NS,1.1,0.01
GODREJIND.NS,1.6,-0.0
GODREJPROP.NS,-2.28,0.01
GPPL.NS,1.18,-0.0
GRANULES.NS,13.59,-0.05
GRASIM.NS,-2.08,0.0
GREAVESCOT.NS,-1.34,0.0
GREENPLY.NS,-0.28,0.01
GRINDWELL.NS,-3.62,0.01
GRUH.NS,4.37,-0.0
GSFC.NS,2.35,0.02
GSKCONS.NS,-0.63,0.0
GSPL.NS,-0.87,-0.0
GUJFLUORO.NS,-0.1,0.0
GUJGASLTD.NS,-4.7,0.02
GULFOILLUB.NS,-1.85,-0.01
GVKPIL.NS,0.0,0.0
HATHWAY.NS,-0.72,0.01
HAVELLS.NS,0.19,0.01
HCC.NS,5.43,0.0
HCLTECH.NS,-2.62,0.01
HDFC.NS,-0.83,0.0
HDFCBANK.NS,2.19,0.0
HDIL.NS,1.28,-0.0
HEIDELBERG.NS,1.35,0.01
HEROMOTOCO.NS,2.33,-0.01
HEXAWARE.NS,-2.1,0.01
HFCL.NS,1.84,0.0
HIMATSEIDE.NS,-0.81,0.0
HINDALCO.NS,7.32,-0.01
HINDCOPPER.NS,4.15,0.02
HINDPETRO.NS,5.74,-0.0
HINDUNILVR.NS,0.19,-0.0
HINDZINC.NS,-0.24,0.01
HMVL.NS,-1.62,0.01
HONAUT.NS,-3.05,-0.0
HSIL.NS,-0.82,0.01
HTMEDIA.NS,-0.08,-0.0
IBREALEST.NS,-2.12,0.01
IBULHSGFIN.NS,0.97,0.01
ICICIBANK.NS,0.65,0.0
ICIL.NS,-1.43,0.01
ICRA.NS,0.54,-0.0
IDBI.NS,-5.08,0.02
IDEA.NS,-0.65,0.01
IDFC.NS,-0.26,-0.01
IDFCBANK.NS,-1.9,0.01
IFCI.NS,1.08,0.0
IGARASHI.NS,2.38,-0.01
IGL.NS,1.66,0.0
IIFL.NS,-0.69,0.0
INDHOTEL.NS,-1.33,0.01
INDIACEM.NS,2.31,0.01
INDIANB.NS,-0.02,0.0
INDIGO.NS,0.0,0.01
INDOCO.NS,-1.66,-0.0
INDUSINDBK.NS,-0.97,0.01
INFIBEAM.NS,-0.27,-0.0
INFRATEL.NS,3.03,-0.01
INFY.NS,0.2,-0.0
INGERRAND.NS,-0.95,-0.0
INOXLEISUR.NS,-1.42,0.0
INOXWIND.NS,-0.02,-0.0
INTELLECT.NS,1.89,-0.0
IOB.NS,-1.58,0.0
IOC.NS,2.53,-0.0
IPAPPM.NS,0.6,0.0
IPCALAB.NS,-0.31,-0.01
IRB.NS,-0.0,0.0
ITC.NS,0.69,0.01
ITDCEM.NS,-1.99,0.01
JAGRAN.NS,-4.68,0.01
JAICORPLTD.NS,-0.06,-0.0
JBCHEPHARM.NS,1.98,-0.01
JBFIND.NS,3.2,0.0
JCHAC.NS,1.23,0.01
JETAIRWAYS.NS,5.41,0.0
JINDALPOLY.NS,3.36,-0.0
JINDALSTEL.NS,0.24,0.01
JISLJALEQS.NS,1.32,0.01
JKCEMENT.NS,-2.61,-0.0
JKIL.NS,2.22,-0.0
JKLAKSHMI.NS,-1.08,0.0
JKTYRE.NS,8.42,-0.0
JMFINANCIL.NS,-0.81,0.0
JMTAUTOLTD.NS,-3.04,0.01
JPASSOCIAT.NS,-2.35,0.01
JPINFRATEC.NS,-0.19,0.01
JPPOWER.NS,1.05,-0.01
JSWENERGY.NS,2.27,-0.01
JSWHL.NS,0.67,0.0
JSWSTEEL.NS,0.0,0.0
JUBILANT.NS,2.14,-0.0
JUBLFOOD.NS,2.75,-0.01
JUSTDIAL.NS,-4.45,0.01
JYOTHYLAB.NS,0.67,-0.0
KAJARIACER.NS,-0.77,0.01
KALPATPOWR.NS,1.86,0.01
KANSAINER.NS,0.96,-0.0
KARURVYSYA.NS,0.0,0.0
KEC.NS,2.55,-0.0
KESORAMIND.NS,10.8,-0.01
KITEX.NS,-4.32,0.02
KOLTEPATIL.NS,-0.02,0.0
KOTAKBANK.NS,1.61,-0.0
KPIT.NS,-0.69,0.01
KPRMILL.NS,0.0,0.0
KRBL.NS,0.17,-0.0
KSBPUMPS.NS,-0.8,-0.0
KSCL.NS,5.02,-0.0
KTKBANK.NS,-1.18,0.01
KWALITY.NS,3.06,0.01
LAKSHVILAS.NS,0.58,-0.0
LALPATHLAB.NS,-1.34,-0.0
LAOPALA.NS,-0.24,0.0
LAXMIMACH.NS,1.15,-0.0
LICHSGFIN.NS,-0.75,-0.0
LINDEINDIA.NS,3.67,0.0
LITL.NS,-2.66,-0.01
LT.NS,1.36,-0.0
LUPIN.NS,1.2,-0.01
MAGMA.NS,4.18,-0.02
MAHINDCIE.NS,0.45,0.0
MAHLIFE.NS,-0.55,0.0
MANAPPURAM.NS,1.98,-0.0
MANPASAND.NS,1.44,-0.0
MARICO.NS,2.69,-0.0
MARKSANS.NS,2.17,0.0
MARUTI.NS,-0.25,0.0
MAYURUNIQ.NS,0.64,-0.0
MCLEODRUSS.NS,-0.68,0.01
MERCK.NS,-1.04,-0.0
MFSL.NS,0.26,-0.0
MHRIL.NS,-1.22,-0.0
MINDTREE.NS,-1.61,-0.01
MMTC.NS,-14.8,0.06
MOIL.NS,-4.26,0.02
MONSANTO.NS,-0.08,0.0
MOTHERSUMI.NS,0.1,-0.0
MOTILALOFS.NS,-0.22,0.0
MPHASIS.NS,0.71,0.0
MRF.NS,5.09,0.0
MRPL.NS,7.1,-0.0
MTNL.NS,-4.38,0.02
MUTHOOTFIN.NS,-0.88,-0.01
MYSOREBANK.NS,-0.21,0.0
NATCOPHARM.NS,-1.51,0.01
NATIONALUM.NS,5.44,0.01
NAUKRI.NS,0.11,-0.01
NAVINFLUOR.NS,1.65,0.02
NAVKARCORP.NS,-3.65,0.01
NBCC.NS,3.46,0.02
NCC.NS,2.01,-0.01
NETWORK18.NS,1.85,0.0
NH.NS,0.03,0.0
NHPC.NS,0.95,-0.0
NIITTECH.NS,-1.27,0.01
NILKAMAL.NS,-5.65,0.04
NITINFIRE.NS,3.86,-0.01
NLCINDIA.NS,1.45,0.01
NMDC.NS,1.97,0.0
NTPC.NS,-0.16,-0.0
OBEROIRLTY.NS,0.75,-0.0
OCL.NS,0.81,-0.0
OFSS.NS,1.33,-0.0
OIL.NS,0.67,0.0
OMAXE.NS,-0.16,-0.0
ONGC.NS,2.28,-0.01
ORIENTBANK.NS,-0.07,0.0
ORIENTCEM.NS,0.2,0.0
ORISSAMINE.NS,1.81,-0.0
PAGEIND.NS,1.94,0.0
PCJEWELLER.NS,0.08,-0.0
PEL.NS,5.75,0.0
PERSISTENT.NS,0.17,-0.0
PETRONET.NS,-4.34,-0.0
PFC.NS,-2.31,0.0
PFIZER.NS,0.69,-0.0
PFS.NS,1.63,-0.0
PGHH.NS,0.41,-0.0
PHOENIXLTD.NS,-1.72,0.0
PIDILITIND.NS,4.1,0.0
PIIND.NS,-1.45,-0.01
PNB.NS,-0.93,0.0
PNCINFRA.NS,0.99,-0.0
POLARIS.NS,2.51,0.01
POWERGRID.NS,1.03,-0.01
PRAJIND.NS,4.2,0.0
PRESTIGE.NS,-6.73,0.02
PRISMCEM.NS,4.99,0.01
PTC.NS,4.11,0.01
PUNJLLOYD.NS,7.24,0.01
PVR.NS,4.19,0.0
RADICO.NS,3.0,-0.01
RAIN.NS,1.55,0.0
RAJESHEXPO.NS,4.29,-0.01
RALLIS.NS,-0.13,0.01
RAMCOCEM.NS,7.81,0.0
RAMCOSYS.NS,-1.1,0.02
RAYMOND.NS,0.11,-0.0
RCF.NS,-5.38,0.02
RCOM.NS,1.36,-0.01
RDEL.NS,1.67,0.01
RECLTD.NS,-2.3,0.0
REDINGTON.NS,-0.01,0.02
RELAXO.NS,1.02,-0.0
RELCAPITAL.NS,0.81,-0.0
RELIANCE.NS,1.4,0.0
RELIGARE.NS,-1.65,-0.01
RELINFRA.NS,2.51,0.0
RENUKA.NS,5.34,0.01
REPCOHOME.NS,2.12,-0.0
RIIL.NS,2.45,-0.0
RKFORGE.NS,7.19,-0.01
RPOWER.NS,0.53,-0.0
RTNPOWER.NS,-1.25,-0.01
RUCHISOYA.NS,0.42,0.0
SADBHAV.NS,0.0,-0.0
SAIL.NS,0.79,0.0
SANOFI.NS,-0.52,0.0
SBBJ.NS,-0.5,0.0
SBIN.NS,0.32,0.0
SBT.NS,0.24,0.0
SCHNEIDER.NS,1.51,-0.01
SCI.NS,-1.18,0.01
SEQUENT.NS,2.16,0.02
SFCL.NS,1.53,0.0
SHARDACROP.NS,0.79,0.01
SHILPAMED.NS,0.84,0.0
SHK.NS,-3.42,0.01
SHOPERSTOP.NS,0.33,0.0
SHREECEM.NS,-0.08,0.0
SHRIRAMCIT.NS,3.53,-0.01
SIEMENS.NS,4.07,-0.0
SIMPLEXINF.NS,5.61,-0.01
SINTEX.NS,-2.68,0.01
SITINET.NS,1.98,-0.0
SJVN.NS,-1.0,0.0
SKFINDIA.NS,-0.36,0.0
SMLISUZU.NS,3.38,-0.0
SNOWMAN.NS,0.78,0.0
SOBHA.NS,0.94,-0.0
SOLARINDS.NS,-0.86,-0.0
SOMANYCERA.NS,-2.67,0.0
SONATSOFTW.NS,3.46,-0.0
SOUTHBANK.NS,-2.37,0.01
SPARC.NS,-0.26,-0.0
SREINFRA.NS,2.41,0.0
SRF.NS,0.21,0.0
SRTRANSFIN.NS,1.39,0.0
STAR.NS,-3.39,0.03
STCINDIA.NS,-11.5,0.02
SUNDARMFIN.NS,-3.07,0.01
SUNDRMFAST.NS,-2.53,0.0
SUNPHARMA.NS,2.66,-0.01
SUNTECK.NS,6.34,0.0
SUNTV.NS,-2.55,0.01
SUPRAJIT.NS,-5.38,0.01
SUPREMEIND.NS,1.08,-0.01
SUVEN.NS,4.96,-0.0
SUZLON.NS,-2.26,0.01
SWANENERGY.NS,-0.24,0.0
SYMPHONY.NS,1.57,-0.01
SYNDIBANK.NS,0.14,0.01
SYNGENE.NS,-1.48,0.01
TAKE.NS,1.86,0.01
TATACHEM.NS,-1.39,0.0
TATACOFFEE.NS,2.08,-0.0
TATACOMM.NS,0.64,-0.0
TATAELXSI.NS,2.67,-0.0
TATAGLOBAL.NS,-0.42,0.0
TATAMOTORS.NS,4.22,0.0
TATAMTRDVR.NS,4.17,0.0
TATAPOWER.NS,2.11,-0.0
TATASPONGE.NS,1.7,-0.0
TATASTEEL.NS,2.87,0.0
TCS.NS,-0.12,0.01
TECHM.NS,-0.67,0.0
TECHNO.NS,6.58,0.0
TEXRAIL.NS,1.65,0.0
THERMAX.NS,-0.38,-0.0
THOMASCOOK.NS,-2.7,0.01
TIDEWATER.NS,-2.36,0.02
TIMKEN.NS,-1.02,0.0
TITAN.NS,2.93,0.0
TNPL.NS,0.43,-0.0
TORNTPHARM.NS,4.0,-0.01
TORNTPOWER.NS,0.73,0.0
TRENT.NS,-1.34,0.0
TRIDENT.NS,4.5,0.0
TRITURBINE.NS,2.59,-0.0
TTKPRESTIG.NS,-2.67,0.0
TUBEINVEST.NS,-1.58,0.01
TV18BRDCST.NS,-0.91,-0.0
TVSMOTOR.NS,0.04,-0.0
TVSSRICHAK.NS,3.38,0.0
TVTODAY.NS,-0.11,-0.0
UBL.NS,-0.08,0.0
UCOBANK.NS,-0.0,-0.0
UFLEX.NS,4.61,-0.0
ULTRACEMCO.NS,0.26,-0.0
UNICHEMLAB.NS,-2.42,0.0
UNIONBANK.NS,5.07,-0.0
UNITECH.NS,-0.63,-0.01
UPL.NS,-3.72,0.01
VAKRANGEE.NS,1.23,0.0
VEDL.NS,-0.7,0.0
VGUARD.NS,2.94,-0.0
VIDEOIND.NS,-0.51,0.0
VIJAYABANK.NS,-0.48,0.02
VINATIORGA.NS,5.34,0.0
VIPIND.NS,1.46,-0.01
VOLTAS.NS,-0.35,0.01
VRLLOG.NS,2.84,0.01
VSTIND.NS,-0.6,0.0
VTL.NS,-0.57,0.0
WABAG.NS,0.15,0.0
WABCOINDIA.NS,-2.02,0.01
WELCORP.NS,-0.41,0.01
WELSPUNIND.NS,1.18,-0.01
WHIRLPOOL.NS,0.99,-0.0
WIPRO.NS,0.99,0.0
WOCKPHARMA.NS,1.7,-0.01
WONDERLA.NS,-4.6,0.02
YESBANK.NS,0.3,0.0
ZEEL.NS,0.45,0.0
ZEELEARN.NS,9.73,-0.0
ZENSARTECH.NS,-0.09,-0.0
ZYDUSWELL.NS,1.28,-0.0
Nifty50,,
Nifty500,,
