Date,index,Open,High,Low,Close,Volume,Adj Close,SMA20,SMA50,SMA200,BBAND,MACD,MACD_Signal,MACD_Hist,OBV,MFI,RSI,ADX,WILLR,DAILY_RETURN,OC_DAILY_RETURN
2013-10-07,2892,323.25,325.7,319.4,323.25,2424500,317.256,331.91,324.26,314.425,-0.112449427636,1.08924330465,2.62617066673,-1.53692736207,120409600,41.1478905454,48.5051431787,18.48617974,-71.3567839196,-0.015532206487,-0.000231964741359
2013-10-08,2893,331.2,334.6,323.0,332.1,4026900,325.942,331.5975,324.48,314.475,0.415685323493,1.43386974123,2.38771048163,-0.9538407404,124436500,42.6244788445,53.812427992,17.4517919314,-53.567839196,0.0273781902552,0.0259860788863
2013-10-09,2894,333.7,335.05,323.15,334.15,5236100,327.954,331.55,324.273,314.5405,0.336898920316,1.85106857625,2.28038210055,-0.429313524304,129672600,39.2342884411,54.9701500632,16.448894025,-44.4812362031,0.00617283950617,0.006859641188
2013-10-10,2895,331.25,336.3,329.1,332.9,3310400,326.727,331.765,324.066,314.565,0.173825176818,2.05712386207,2.23573045285,-0.178606590781,126362200,50.0399852258,54.0800131647,15.3936495124,-23.642172524,-0.00374083495436,-0.00554016620499
2013-10-11,2896,335.65,337.6,331.75,334.55,2069800,328.347,332.205,323.852,314.60275,0.189773395454,2.32674411323,2.25393318493,0.0728109282973,128432000,56.879153625,55.1132657612,14.3084366338,-15.3973509934,0.00495644337639,0.00910938793947
2013-10-14,2897,336.9,338.5,332.0,333.1,1675400,326.923,332.0725,323.787,314.63425,-0.0735320464356,2.39579993264,2.28230653447,0.113493398168,126756600,61.1023134647,53.9641110052,13.3974772734,-20.1986754967,-0.00433418024212,-0.000298418382572
2013-10-15,2898,336.0,344.0,334.0,339.1,4164300,332.812,332.1625,324.111,314.67825,0.480757254266,2.90123341015,2.40609190961,0.495141500547,130920900,61.8012167012,57.877924006,13.1281107003,-14.0,0.0180126088262,0.00761194029851
2013-10-16,2899,339.1,339.1,339.1,339.1,0,332.812,332.2375,324.368,314.705,0.299757834163,3.26416581094,2.57770668987,0.686459121067,130920900,57.5014153307,57.877924006,12.8779845967,-14.0,0.0,0.00459191230929
2013-10-17,2900,341.0,350.0,339.5,348.65,5863000,342.185,331.955,324.595,314.798,0.448468586761,4.27313944904,2.91679324171,1.35634620733,136783900,69.0472545917,63.5917252031,13.6692999418,-3.29268292683,0.0281627838396,0.0168829253907
2013-10-18,2901,350.0,359.0,348.75,356.75,4647900,350.135,332.5825,324.984,314.95575,0.401367790068,5.66110296095,3.46565518556,2.1954477754,141431800,80.1386488496,67.6054997412,15.0753008943,-4.5,0.0232324680912,0.0247951859639
