,Old_Rank,New_Rank,Difference,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change
KPIT,405,393,12,2016-12-27,2017-01-02,134.51,0.01,134.5,135.5,0.01,0.0,-0.01,0.01,2017-01-02,2017-01-06,136.1,0.01,135.5,134.7,-0.01,-0.0,-0.02,0.01
KSBPUMPS,404,392,12,2016-12-27,2017-01-02,622.99,0.02,620.4,625.75,0.01,0.0,-0.02,0.03,2017-01-02,2017-01-06,618.5,0.01,625.75,617.0,-0.01,-0.0,-0.01,0.01
SFCL,288,277,11,2016-12-27,2017-01-02,96.78,0.01,95.55,98.9,0.03,0.01,-0.0,0.02,2017-01-02,2017-01-06,99.25,0.0,98.9,99.5,0.01,0.0,-0.0,0.0
CROMPGREAV,177,166,11,2016-12-27,2017-01-02,58.66,0.01,57.0,59.95,0.05,0.01,-0.01,0.03,2017-01-02,2017-01-06,61.12,0.01,59.95,61.75,0.03,0.01,-0.0,0.01
SITINET,387,377,10,2016-12-27,2017-01-02,37.56,0.01,37.3,37.55,0.01,0.0,-0.02,0.02,2017-01-02,2017-01-06,37.33,0.01,37.55,37.15,-0.01,-0.0,-0.01,0.01
EIDPARRY,54,44,10,2016-12-27,2017-01-02,252.12,0.01,245.15,264.55,0.08,0.02,0.0,0.04,2017-01-02,2017-01-06,271.47,0.02,264.55,280.9,0.06,0.01,-0.01,0.05
JMTAUTOLTD,391,385,6,2016-12-27,2017-01-02,19.14,0.01,18.95,19.05,0.01,0.0,-0.01,0.01,2017-01-02,2017-01-06,19.05,0.01,19.05,18.8,-0.01,-0.0,-0.02,0.01
JBFIND,208,202,6,2016-12-27,2017-01-02,206.41,0.01,203.1,211.35,0.04,0.01,-0.01,0.02,2017-01-02,2017-01-06,213.41,0.01,211.35,214.9,0.02,0.0,-0.01,0.02
TATAMTRDVR,178,172,6,2016-12-27,2017-01-02,298.3,0.02,296.7,308.55,0.04,0.01,-0.02,0.03,2017-01-02,2017-01-06,313.77,0.02,308.55,318.7,0.03,0.01,-0.01,0.04
TATAMOTORS,204,199,5,2016-12-27,2017-01-02,472.05,0.01,466.95,487.05,0.04,0.01,-0.01,0.03,2017-01-02,2017-01-06,490.94,0.02,487.05,497.75,0.02,0.01,-0.01,0.03
RECLTD,150,145,5,2016-12-27,2017-01-02,122.27,0.01,118.75,124.55,0.05,0.01,-0.0,0.02,2017-01-02,2017-01-06,126.28,0.01,124.55,128.5,0.03,0.01,-0.01,0.02
MRPL,13,10,3,2016-12-27,2017-01-02,95.99,0.03,88.1,99.15,0.12,0.03,-0.0,0.09,2017-01-02,2017-01-06,105.51,0.02,99.15,108.8,0.09,0.02,-0.01,0.05
IRB,58,56,2,2016-12-27,2017-01-02,194.55,0.01,189.1,204.15,0.08,0.02,0.0,0.04,2017-01-02,2017-01-06,209.02,0.01,204.15,214.1,0.05,0.01,0.0,0.03
INFRATEL,190,188,2,2016-12-27,2017-01-02,340.06,0.01,331.85,344.2,0.04,0.01,0.0,0.02,2017-01-02,2017-01-06,348.48,0.02,344.2,354.25,0.03,0.01,-0.01,0.03
KARURVYSYA,489,489,0,2016-11-10,2016-11-16,315.47,0.7,466.15,91.03,-1.63,-0.41,-1.62,0.0,2016-11-10,2016-11-16,315.47,0.7,466.15,91.03,-1.63,-0.41,-1.62,0.0
NIITTECH,411,412,-1,2016-12-27,2017-01-02,424.78,0.0,423.75,426.35,0.01,0.0,-0.0,0.0,2017-01-02,2017-01-06,429.46,0.01,426.35,422.65,-0.01,-0.0,-0.02,0.01
CEATLTD,250,253,-3,2016-12-27,2017-01-02,1154.32,0.01,1143.05,1180.15,0.03,0.01,-0.01,0.02,2017-01-02,2017-01-06,1188.78,0.01,1180.15,1197.45,0.01,0.0,-0.01,0.01
TUBEINVEST,380,384,-4,2016-12-27,2017-01-02,580.1,0.01,571.85,578.9,0.01,0.0,-0.01,0.02,2017-01-02,2017-01-06,577.95,0.01,578.9,575.05,-0.01,-0.0,-0.01,0.01
RELAXO,420,425,-5,2016-12-27,2017-01-02,402.92,0.01,402.1,405.5,0.01,0.0,-0.01,0.01,2017-01-02,2017-01-06,401.82,0.01,405.5,401.2,-0.01,-0.0,-0.02,0.0
BEML,312,318,-6,2016-12-27,2017-01-02,986.61,0.01,975.7,996.3,0.02,0.01,-0.0,0.01,2017-01-02,2017-01-06,1001.31,0.01,996.3,993.55,-0.0,-0.0,-0.01,0.01
REPCOHOME,32,38,-6,2016-12-27,2017-01-02,544.84,0.01,516.9,564.9,0.09,0.02,0.01,0.04,2017-01-02,2017-01-06,581.28,0.01,564.9,602.25,0.06,0.02,0.0,0.03
DLF,36,42,-6,2016-12-27,2017-01-02,111.25,0.03,108.25,118.7,0.09,0.02,-0.01,0.06,2017-01-02,2017-01-06,123.29,0.02,118.7,126.55,0.06,0.02,-0.0,0.05
BRITANNIA,357,364,-7,2016-12-27,2017-01-02,2864.47,0.01,2826.85,2886.45,0.02,0.01,0.0,0.02,2017-01-02,2017-01-06,2874.37,0.01,2886.45,2894.95,0.0,0.0,-0.01,0.01
CAPF,64,71,-7,2016-12-27,2017-01-02,552.26,0.02,531.95,571.85,0.07,0.02,-0.0,0.04,2017-01-02,2017-01-06,595.33,0.02,571.85,602.1,0.05,0.01,-0.01,0.03
GRINDWELL,423,431,-8,2016-12-27,2017-01-02,324.73,0.01,321.9,326.0,0.01,0.0,-0.01,0.02,2017-01-02,2017-01-06,325.24,0.01,326.0,319.95,-0.02,-0.0,-0.01,0.01
INOXLEISUR,392,401,-9,2016-12-27,2017-01-02,229.73,0.0,227.8,230.3,0.01,0.0,-0.0,0.01,2017-01-02,2017-01-06,230.49,0.01,230.3,228.2,-0.01,-0.0,-0.02,0.01
DABUR,331,340,-9,2016-12-27,2017-01-02,274.86,0.01,270.5,277.15,0.02,0.01,-0.0,0.01,2017-01-02,2017-01-06,276.93,0.01,277.15,276.6,-0.0,-0.0,-0.01,0.01
BIRLACORPN,116,125,-9,2016-12-27,2017-01-02,634.37,0.03,628.35,670.35,0.06,0.02,-0.01,0.06,2017-01-02,2017-01-06,678.97,0.01,670.35,700.5,0.04,0.01,-0.0,0.03
HINDPETRO,103,113,-10,2016-12-27,2017-01-02,432.96,0.02,424.45,450.0,0.06,0.01,-0.01,0.03,2017-01-02,2017-01-06,462.98,0.02,450.0,466.7,0.04,0.01,-0.01,0.03
GSFC,51,61,-10,2016-12-27,2017-01-02,95.85,0.01,91.25,99.0,0.08,0.02,0.0,0.04,2017-01-02,2017-01-06,102.2,0.02,99.0,103.8,0.05,0.01,-0.02,0.03
TORNTPOWER,303,315,-12,2016-12-27,2017-01-02,176.79,0.01,173.45,177.95,0.03,0.01,-0.01,0.01,2017-01-02,2017-01-06,179.18,0.01,177.95,179.1,0.01,0.0,-0.01,0.01
ORISSAMINE,46,58,-12,2016-12-27,2017-01-02,2152.53,0.04,2134.3,2306.95,0.08,0.02,-0.01,0.09,2017-01-02,2017-01-06,2312.8,0.03,2306.95,2426.6,0.05,0.01,-0.02,0.06
IBREALEST,50,63,-13,2016-12-27,2017-01-02,71.5,0.03,69.9,75.8,0.08,0.02,-0.01,0.06,2017-01-02,2017-01-06,78.22,0.03,75.8,79.7,0.05,0.01,-0.01,0.05
JINDALSTEL,96,110,-14,2016-12-27,2017-01-02,68.66,0.01,66.35,70.35,0.06,0.01,-0.01,0.02,2017-01-02,2017-01-06,72.2,0.03,70.35,73.55,0.04,0.01,-0.03,0.06
PFC,119,133,-14,2016-12-27,2017-01-02,120.72,0.01,117.15,124.0,0.06,0.01,0.01,0.02,2017-01-02,2017-01-06,126.16,0.02,124.0,129.45,0.04,0.01,-0.01,0.04
CORPBANK,329,344,-15,2016-12-27,2017-01-02,41.38,0.01,41.05,41.8,0.02,0.0,-0.0,0.01,2017-01-02,2017-01-06,41.86,0.01,41.8,41.9,0.0,0.0,-0.01,0.01
RELINFRA,142,157,-15,2016-12-27,2017-01-02,462.44,0.01,456.15,478.7,0.05,0.01,-0.01,0.02,2017-01-02,2017-01-06,484.7,0.01,478.7,492.7,0.03,0.01,-0.0,0.02
DALMIABHA,19,36,-17,2016-12-27,2017-01-02,1356.04,0.03,1308.45,1453.75,0.11,0.03,0.01,0.07,2017-01-02,2017-01-06,1542.34,0.04,1453.75,1538.2,0.06,0.01,-0.02,0.07
MARUTI,153,173,-20,2016-12-27,2017-01-02,5311.12,0.01,5224.0,5466.0,0.05,0.01,0.0,0.03,2017-01-02,2017-01-06,5545.41,0.01,5466.0,5615.55,0.03,0.01,-0.0,0.02
ASTRAZEN,311,332,-21,2016-12-27,2017-01-02,932.56,0.01,927.1,943.5,0.02,0.0,-0.01,0.02,2017-01-02,2017-01-06,943.18,0.01,943.5,939.4,-0.0,-0.0,-0.01,0.01
WABAG,268,289,-21,2016-12-27,2017-01-02,467.54,0.01,459.85,476.0,0.03,0.01,0.0,0.02,2017-01-02,2017-01-06,478.96,0.0,476.0,479.75,0.01,0.0,-0.0,0.01
SHOPERSTOP,309,333,-24,2016-12-27,2017-01-02,284.04,0.03,286.9,292.6,0.02,0.0,-0.05,0.04,2017-01-02,2017-01-06,293.55,0.01,292.6,292.2,-0.0,-0.0,-0.01,0.01
PGHH,421,449,-28,2016-12-27,2017-01-02,7020.34,0.02,6927.25,6994.7,0.01,0.0,-0.01,0.03,2017-01-02,2017-01-06,6928.4,0.01,6994.7,6861.45,-0.02,-0.0,-0.01,0.0
SRTRANSFIN,38,67,-29,2016-12-27,2017-01-02,838.58,0.01,808.35,884.4,0.09,0.02,0.01,0.04,2017-01-02,2017-01-06,906.37,0.01,884.4,927.85,0.05,0.01,0.0,0.02
FLFL,39,68,-29,2016-12-27,2017-01-02,127.14,0.01,122.4,133.8,0.09,0.02,0.01,0.03,2017-01-02,2017-01-06,136.23,0.03,133.8,141.05,0.05,0.01,-0.02,0.06
BRIGADE,333,363,-30,2016-12-27,2017-01-02,150.11,0.01,149.3,152.05,0.02,0.0,-0.01,0.01,2017-01-02,2017-01-06,152.79,0.01,152.05,152.7,0.0,0.0,-0.01,0.01
CONCOR,199,230,-31,2016-12-27,2017-01-02,1109.73,0.01,1098.8,1141.05,0.04,0.01,-0.01,0.03,2017-01-02,2017-01-06,1162.24,0.02,1141.05,1167.75,0.02,0.01,-0.02,0.03
COALINDIA,200,231,-31,2016-12-27,2017-01-02,296.57,0.01,288.95,300.05,0.04,0.01,0.0,0.02,2017-01-02,2017-01-06,305.2,0.01,300.05,306.2,0.02,0.01,-0.01,0.02
CAPLIPOINT,395,429,-34,2016-12-27,2017-01-02,340.02,0.01,335.5,340.05,0.01,0.0,-0.01,0.02,2017-01-02,2017-01-06,339.95,0.01,340.05,335.6,-0.01,-0.0,-0.02,0.01
KTKBANK,157,191,-34,2016-12-27,2017-01-02,110.87,0.02,108.25,113.45,0.05,0.01,-0.01,0.04,2017-01-02,2017-01-06,115.56,0.01,113.45,116.5,0.03,0.01,-0.01,0.02
MUTHOOTFIN,141,175,-34,2016-12-27,2017-01-02,279.31,0.01,272.3,285.2,0.05,0.01,0.0,0.03,2017-01-02,2017-01-06,289.34,0.01,285.2,295.15,0.03,0.01,0.0,0.02
INDHOTEL,435,472,-37,2016-12-27,2017-01-02,98.21,0.01,98.6,98.35,-0.0,-0.0,-0.01,0.01,2017-01-02,2017-01-06,96.59,0.01,98.35,95.75,-0.03,-0.01,-0.02,0.01
BIOCON,223,260,-37,2016-12-27,2017-01-02,938.24,0.01,916.95,951.95,0.04,0.01,0.0,0.02,2017-01-02,2017-01-06,947.38,0.01,951.95,959.55,0.01,0.0,-0.01,0.01
PETRONET,213,254,-41,2016-12-27,2017-01-02,365.53,0.01,357.9,370.85,0.04,0.01,-0.0,0.02,2017-01-02,2017-01-06,375.72,0.02,370.85,373.75,0.01,0.0,-0.02,0.03
INFY,433,475,-42,2016-12-27,2017-01-02,1000.3,0.01,998.95,1001.1,0.0,0.0,-0.01,0.02,2017-01-02,2017-01-06,992.22,0.01,1001.1,972.25,-0.03,-0.01,-0.02,0.0
JSWENERGY,30,74,-44,2016-12-27,2017-01-02,59.65,0.01,56.7,62.25,0.09,0.02,0.02,0.03,2017-01-02,2017-01-06,62.17,0.03,62.25,65.3,0.05,0.01,-0.03,0.06
OFSS,402,446,-44,2016-12-27,2017-01-02,3138.59,0.01,3153.3,3188.7,0.01,0.0,-0.01,0.02,2017-01-02,2017-01-06,3188.48,0.02,3188.7,3139.45,-0.02,-0.0,-0.02,0.02
TATASPONGE,149,194,-45,2016-12-27,2017-01-02,562.12,0.01,551.05,576.65,0.05,0.01,0.0,0.02,2017-01-02,2017-01-06,589.81,0.01,576.65,595.2,0.03,0.01,-0.01,0.02
RIIL,154,200,-46,2016-12-27,2017-01-02,381.85,0.01,373.65,391.25,0.05,0.01,-0.0,0.04,2017-01-02,2017-01-06,397.28,0.01,391.25,400.65,0.02,0.01,-0.0,0.02
MAGMA,257,304,-47,2016-12-27,2017-01-02,100.16,0.02,99.9,103.15,0.03,0.01,-0.02,0.02,2017-01-02,2017-01-06,104.12,0.0,103.15,104.6,0.01,0.0,0.0,0.01
NAVKARCORP,140,187,-47,2016-12-27,2017-01-02,162.3,0.02,159.7,167.6,0.05,0.01,-0.01,0.03,2017-01-02,2017-01-06,170.65,0.01,167.6,173.3,0.03,0.01,-0.01,0.03
JISLJALEQS,63,111,-48,2016-12-27,2017-01-02,86.18,0.01,83.05,88.75,0.07,0.02,0.01,0.02,2017-01-02,2017-01-06,91.62,0.02,88.75,91.95,0.04,0.01,-0.01,0.03
CARERATING,364,418,-54,2016-12-27,2017-01-02,1303.88,0.01,1296.1,1321.4,0.02,0.0,-0.01,0.02,2017-01-02,2017-01-06,1314.04,0.0,1321.4,1305.85,-0.01,-0.0,-0.0,-0.0
CENTRALBK,356,411,-55,2016-12-27,2017-01-02,83.27,0.01,82.85,84.6,0.02,0.01,-0.0,0.01,2017-01-02,2017-01-06,83.91,0.0,84.6,83.45,-0.01,-0.0,-0.01,0.0
GUJGASLTD,350,405,-55,2016-12-27,2017-01-02,521.71,0.0,518.1,529.9,0.02,0.01,-0.0,0.01,2017-01-02,2017-01-06,532.66,0.01,529.9,527.0,-0.01,-0.0,-0.02,0.01
SYNGENE,99,154,-55,2016-12-27,2017-01-02,559.76,0.03,535.35,566.95,0.06,0.01,-0.02,0.07,2017-01-02,2017-01-06,578.75,0.01,566.95,582.55,0.03,0.01,-0.0,0.02
LALPATHLAB,156,211,-55,2016-12-27,2017-01-02,1061.62,0.01,1031.55,1088.65,0.05,0.01,0.0,0.02,2017-01-02,2017-01-06,1093.46,0.01,1088.65,1115.8,0.02,0.01,-0.02,0.01
DBREALTY,173,229,-56,2016-12-27,2017-01-02,36.24,0.02,35.65,37.6,0.05,0.01,-0.0,0.04,2017-01-02,2017-01-06,38.39,0.02,37.6,38.4,0.02,0.01,-0.03,0.02
BBTC,74,130,-56,2016-12-27,2017-01-02,511.05,0.02,490.15,524.4,0.07,0.02,-0.01,0.03,2017-01-02,2017-01-06,530.71,0.01,524.4,544.75,0.04,0.01,-0.0,0.02
INOXWIND,401,459,-58,2016-12-27,2017-01-02,183.29,0.02,184.65,186.8,0.01,0.0,-0.01,0.03,2017-01-02,2017-01-06,185.0,0.01,186.8,183.3,-0.02,-0.0,-0.02,0.01
IGL,271,330,-59,2016-12-27,2017-01-02,902.57,0.01,891.4,919.35,0.03,0.01,-0.0,0.02,2017-01-02,2017-01-06,930.98,0.02,919.35,922.9,0.0,0.0,-0.01,0.03
APOLLOHOSP,224,285,-61,2016-12-27,2017-01-02,1165.07,0.0,1141.1,1189.2,0.04,0.01,0.0,0.02,2017-01-02,2017-01-06,1203.87,0.01,1189.2,1196.5,0.01,0.0,-0.01,0.01
NH,360,422,-62,2016-12-27,2017-01-02,338.99,0.01,338.85,344.35,0.02,0.0,-0.02,0.02,2017-01-02,2017-01-06,339.6,0.01,344.35,339.65,-0.01,-0.0,-0.01,0.01
RELCAPITAL,143,207,-64,2016-12-27,2017-01-02,426.23,0.01,418.8,439.9,0.05,0.01,-0.0,0.02,2017-01-02,2017-01-06,443.65,0.0,439.9,447.8,0.02,0.0,0.0,0.01
DELTACORP,0,64,-64,2016-12-27,2017-01-02,108.09,0.04,96.15,116.15,0.19,0.05,-0.01,0.11,2017-01-02,2017-01-06,119.27,0.02,116.15,122.7,0.05,0.01,-0.01,0.04
AUROPHARMA,168,236,-68,2016-12-27,2017-01-02,657.69,0.01,644.7,675.5,0.05,0.01,-0.01,0.03,2017-01-02,2017-01-06,678.66,0.01,675.5,692.4,0.02,0.01,-0.01,0.03
SUNDARMFIN,145,214,-69,2016-12-27,2017-01-02,1143.68,0.01,1113.6,1173.3,0.05,0.01,-0.0,0.02,2017-01-02,2017-01-06,1180.44,0.01,1173.3,1201.0,0.02,0.01,-0.01,0.01
NLCINDIA,133,204,-71,2016-12-27,2017-01-02,75.71,0.01,74.05,77.95,0.05,0.01,0.0,0.02,2017-01-02,2017-01-06,79.18,0.01,77.95,79.9,0.02,0.01,-0.0,0.01
JETAIRWAYS,90,163,-73,2016-12-27,2017-01-02,347.34,0.02,343.4,362.9,0.06,0.01,-0.01,0.04,2017-01-02,2017-01-06,368.7,0.01,362.9,372.25,0.03,0.01,-0.0,0.02
MANAPPURAM,28,101,-73,2016-12-27,2017-01-02,66.26,0.02,62.7,68.95,0.1,0.02,0.01,0.05,2017-01-02,2017-01-06,70.75,0.03,68.95,71.65,0.04,0.01,-0.04,0.05
UPL,272,346,-74,2016-12-27,2017-01-02,642.28,0.01,636.45,658.65,0.03,0.01,-0.01,0.02,2017-01-02,2017-01-06,663.14,0.02,658.65,659.9,0.0,0.0,-0.02,0.02
DIVISLAB,406,487,-81,2016-12-27,2017-01-02,796.77,0.03,788.45,797.85,0.01,0.0,-0.04,0.04,2017-01-02,2017-01-06,765.88,0.02,797.85,737.4,-0.08,-0.02,-0.04,0.02
DISHMAN,88,169,-81,2016-12-27,2017-01-02,213.27,0.01,208.65,220.45,0.06,0.01,0.0,0.03,2017-01-02,2017-01-06,226.76,0.02,220.45,227.8,0.03,0.01,-0.02,0.04
CANFINHOME,12,95,-83,2016-12-27,2017-01-02,1531.66,0.03,1460.1,1650.5,0.12,0.03,-0.01,0.07,2017-01-02,2017-01-06,1675.9,0.0,1650.5,1712.5,0.04,0.01,0.0,0.01
PNCINFRA,233,319,-86,2016-12-27,2017-01-02,103.91,0.02,101.2,105.0,0.04,0.01,-0.01,0.04,2017-01-02,2017-01-06,104.79,0.0,105.0,104.65,-0.0,-0.0,-0.0,0.0
CASTROLIND,167,256,-89,2016-12-27,2017-01-02,377.0,0.0,367.0,385.5,0.05,0.01,0.01,0.02,2017-01-02,2017-01-06,387.79,0.01,385.5,390.2,0.01,0.0,-0.0,0.01
BERGEPAINT,45,137,-92,2016-12-27,2017-01-02,206.44,0.02,195.75,211.55,0.08,0.02,0.0,0.05,2017-01-02,2017-01-06,214.61,0.01,211.55,219.45,0.04,0.01,-0.0,0.03
JKTYRE,160,252,-92,2016-12-27,2017-01-02,112.9,0.01,110.0,115.8,0.05,0.01,-0.0,0.02,2017-01-02,2017-01-06,116.27,0.0,115.8,116.4,0.01,0.0,-0.0,0.01
VTL,285,378,-93,2016-12-27,2017-01-02,1101.57,0.01,1077.6,1110.3,0.03,0.01,-0.0,0.03,2017-01-02,2017-01-06,1111.99,0.01,1110.3,1097.7,-0.01,-0.0,-0.01,0.01
AEGISCHEM,336,430,-94,2016-12-27,2017-01-02,128.77,0.01,128.35,131.15,0.02,0.01,-0.01,0.02,2017-01-02,2017-01-06,131.54,0.01,131.15,130.45,-0.01,-0.0,-0.01,0.01
MAHLIFE,261,357,-96,2016-12-27,2017-01-02,352.6,0.01,348.95,358.2,0.03,0.01,0.0,0.02,2017-01-02,2017-01-06,359.1,0.01,358.2,359.2,0.0,0.0,-0.01,0.01
CYIENT,295,391,-96,2016-12-27,2017-01-02,490.47,0.02,475.75,492.25,0.03,0.01,-0.03,0.03,2017-01-02,2017-01-06,490.89,0.0,492.25,486.95,-0.01,-0.0,-0.01,-0.0
VAKRANGEE,275,372,-97,2016-12-27,2017-01-02,271.78,0.01,266.5,274.55,0.03,0.01,0.0,0.02,2017-01-02,2017-01-06,274.3,0.01,274.55,270.5,-0.01,-0.0,-0.02,0.0
KSCL,203,300,-97,2016-12-27,2017-01-02,403.73,0.01,393.55,411.05,0.04,0.01,0.0,0.03,2017-01-02,2017-01-06,415.74,0.01,411.05,416.55,0.01,0.0,-0.01,0.02
ROLTA,237,336,-99,2016-12-27,2017-01-02,60.75,0.02,60.35,63.05,0.04,0.01,-0.01,0.04,2017-01-02,2017-01-06,63.41,0.02,63.05,63.3,0.0,0.0,-0.01,0.02
GODREJPROP,212,311,-99,2016-12-27,2017-01-02,305.15,0.02,301.6,313.7,0.04,0.01,-0.01,0.03,2017-01-02,2017-01-06,319.94,0.02,313.7,316.15,0.01,0.0,-0.03,0.02
BHARATFORG,325,426,-101,2016-12-27,2017-01-02,909.59,0.01,909.4,924.5,0.02,0.0,-0.01,0.02,2017-01-02,2017-01-06,918.96,0.01,924.5,912.1,-0.01,-0.0,-0.01,0.01
PFIZER,314,416,-102,2016-12-27,2017-01-02,1812.03,0.01,1800.45,1828.2,0.02,0.0,-0.01,0.01,2017-01-02,2017-01-06,1811.13,0.01,1828.2,1807.65,-0.01,-0.0,-0.01,0.01
GODREJIND,118,220,-102,2016-12-27,2017-01-02,422.19,0.01,408.3,433.35,0.06,0.01,0.01,0.03,2017-01-02,2017-01-06,435.56,0.01,433.35,442.55,0.02,0.01,-0.0,0.02
3MINDIA,113,217,-104,2016-12-27,2017-01-02,10828.9,0.01,10433.1,11056.5,0.06,0.01,-0.01,0.02,2017-01-02,2017-01-06,11036.92,0.02,11056.5,11305.0,0.02,0.01,-0.01,0.03
RELIANCE,321,428,-107,2016-12-27,2017-01-02,1069.47,0.01,1064.7,1085.1,0.02,0.0,-0.01,0.02,2017-01-02,2017-01-06,1078.8,0.01,1085.1,1074.95,-0.01,-0.0,-0.02,0.01
SRF,247,355,-108,2016-12-27,2017-01-02,1529.41,0.01,1511.0,1558.4,0.03,0.01,-0.01,0.02,2017-01-02,2017-01-06,1561.56,0.01,1558.4,1565.25,0.0,0.0,-0.01,0.02
RAMCOCEM,81,193,-112,2016-12-27,2017-01-02,537.9,0.0,517.95,558.25,0.07,0.02,0.02,0.02,2017-01-02,2017-01-06,571.6,0.01,558.25,577.75,0.03,0.01,0.0,0.02
TCS,353,466,-113,2016-12-27,2017-01-02,2343.08,0.01,2323.4,2361.35,0.02,0.0,-0.0,0.02,2017-01-02,2017-01-06,2344.98,0.01,2361.35,2281.4,-0.03,-0.01,-0.02,0.0
COROMANDEL,17,131,-114,2016-12-27,2017-01-02,286.2,0.01,270.75,302.35,0.11,0.03,0.02,0.03,2017-01-02,2017-01-06,306.49,0.01,302.35,313.5,0.04,0.01,-0.01,0.03
BLISSGVS,241,358,-117,2016-12-27,2017-01-02,155.01,0.01,153.8,158.4,0.03,0.01,-0.01,0.02,2017-01-02,2017-01-06,158.99,0.01,158.4,158.95,0.0,0.0,-0.01,0.01
SONATSOFTW,229,347,-118,2016-12-27,2017-01-02,191.37,0.02,189.45,197.05,0.04,0.01,-0.02,0.03,2017-01-02,2017-01-06,200.92,0.03,197.05,197.2,0.0,0.0,-0.05,0.03
IIFL,342,461,-119,2016-12-27,2017-01-02,261.15,0.0,257.7,262.85,0.02,0.0,-0.0,0.01,2017-01-02,2017-01-06,259.89,0.02,262.85,255.95,-0.03,-0.01,-0.02,0.02
MPHASIS,366,486,-120,2016-12-27,2017-01-02,559.47,0.01,548.5,557.65,0.02,0.0,-0.01,0.02,2017-01-02,2017-01-06,538.96,0.02,557.65,527.15,-0.06,-0.01,-0.04,0.01
SREINFRA,57,179,-122,2016-12-27,2017-01-02,74.31,0.02,71.9,78.05,0.08,0.02,0.0,0.05,2017-01-02,2017-01-06,79.25,0.02,78.05,80.6,0.03,0.01,-0.02,0.02
GSPL,307,432,-125,2016-12-27,2017-01-02,137.71,0.01,135.35,140.15,0.03,0.01,0.0,0.02,2017-01-02,2017-01-06,139.43,0.01,140.15,137.4,-0.02,-0.0,-0.02,-0.0
NETWORK18,21,147,-126,2016-12-27,2017-01-02,33.04,0.04,30.7,33.95,0.1,0.03,-0.01,0.09,2017-01-02,2017-01-06,34.88,0.01,33.95,35.1,0.03,0.01,-0.02,0.02
NTPC,244,371,-127,2016-12-27,2017-01-02,162.85,0.01,160.4,164.8,0.03,0.01,0.0,0.02,2017-01-02,2017-01-06,164.82,0.0,164.8,164.0,-0.0,-0.0,-0.01,0.0
INTELLECT,68,198,-130,2016-12-27,2017-01-02,137.97,0.01,132.6,142.5,0.07,0.02,0.0,0.03,2017-01-02,2017-01-06,143.86,0.01,142.5,146.0,0.02,0.01,-0.01,0.02
SANOFI,313,443,-130,2016-12-27,2017-01-02,4268.74,0.01,4216.0,4295.6,0.02,0.0,-0.0,0.02,2017-01-02,2017-01-06,4248.85,0.01,4295.6,4210.3,-0.02,-0.01,-0.02,0.0
HDIL,18,151,-133,2016-12-27,2017-01-02,57.54,0.03,55.05,61.7,0.11,0.03,0.0,0.07,2017-01-02,2017-01-06,62.7,0.01,61.7,63.4,0.03,0.01,-0.0,0.01
MHRIL,248,387,-139,2016-12-27,2017-01-02,394.93,0.0,388.6,399.85,0.03,0.01,0.0,0.01,2017-01-02,2017-01-06,399.76,0.01,399.85,394.9,-0.01,-0.0,-0.02,0.01
HONAUT,102,243,-141,2016-12-27,2017-01-02,8733.75,0.01,8498.9,9063.2,0.06,0.02,0.0,0.04,2017-01-02,2017-01-06,9189.9,0.0,9063.2,9288.8,0.02,0.01,0.0,0.01
TATACHEM,195,338,-143,2016-12-27,2017-01-02,495.91,0.01,486.9,506.95,0.04,0.01,0.0,0.02,2017-01-02,2017-01-06,507.55,0.01,506.95,507.8,0.0,0.0,-0.01,0.01
ADANITRANS,184,327,-143,2016-12-27,2017-01-02,56.13,0.0,55.0,57.1,0.04,0.01,0.01,0.01,2017-01-02,2017-01-06,57.43,0.02,57.1,57.15,0.0,0.0,-0.02,0.02
JKLAKSHMI,301,445,-144,2016-12-27,2017-01-02,353.98,0.02,352.75,365.0,0.03,0.01,-0.0,0.04,2017-01-02,2017-01-06,361.84,0.0,365.0,356.9,-0.02,-0.01,-0.01,-0.0
UFLEX,82,227,-145,2016-12-27,2017-01-02,264.95,0.01,256.3,275.1,0.07,0.02,0.01,0.04,2017-01-02,2017-01-06,279.72,0.02,275.1,279.35,0.02,0.0,-0.02,0.02
SUPREMEIND,155,301,-146,2016-12-27,2017-01-02,888.51,0.02,855.8,897.25,0.05,0.01,-0.01,0.03,2017-01-02,2017-01-06,897.59,0.01,897.25,904.85,0.01,0.0,-0.01,0.03
MOTHERSUMI,122,268,-146,2016-12-27,2017-01-02,321.25,0.02,310.25,327.85,0.06,0.01,-0.0,0.04,2017-01-02,2017-01-06,326.48,0.01,327.85,331.65,0.01,0.0,-0.01,0.02
HFCL,105,251,-146,2016-12-27,2017-01-02,12.37,0.01,12.1,12.9,0.06,0.02,0.0,0.03,2017-01-02,2017-01-06,13.06,0.01,12.9,13.2,0.02,0.01,-0.0,0.02
ARVIND,91,237,-146,2016-12-27,2017-01-02,340.42,0.02,332.75,352.15,0.06,0.01,-0.01,0.06,2017-01-02,2017-01-06,359.55,0.02,352.15,360.9,0.02,0.01,-0.01,0.02
