,Old_Rank,New_Rank,Difference,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change
RUCHISOYA,316,107,209,2016-12-27,2017-01-02,18.96,0.01,18.85,19.3,0.02,0.01,-0.01,0.02,2017-01-02,2017-01-06,19.84,0.01,19.3,20.1,0.04,0.01,-0.01,0.02
APLAPOLLO,328,119,209,2016-12-27,2017-01-02,907.84,0.01,898.5,919.7,0.02,0.01,-0.01,0.02,2017-01-02,2017-01-06,935.87,0.0,919.7,953.1,0.04,0.01,0.0,0.02
GPPL,448,241,207,2016-12-27,2017-01-02,130.28,0.01,131.05,131.25,0.0,0.0,-0.02,0.02,2017-01-02,2017-01-06,132.47,0.01,131.25,134.55,0.02,0.01,-0.02,0.02
UBL,388,182,206,2016-12-27,2017-01-02,774.07,0.01,764.5,775.05,0.01,0.0,-0.01,0.02,2017-01-02,2017-01-06,794.02,0.01,775.05,801.35,0.03,0.01,-0.01,0.02
DCBBANK,332,127,205,2016-12-27,2017-01-02,107.57,0.01,106.75,109.4,0.02,0.01,-0.01,0.02,2017-01-02,2017-01-06,112.14,0.01,109.4,113.95,0.04,0.01,0.0,0.02
GODFRYPHLP,426,221,205,2016-12-27,2017-01-02,1014.82,0.02,999.7,1014.1,0.01,0.0,-0.01,0.03,2017-01-02,2017-01-06,1038.63,0.02,1014.1,1034.05,0.02,0.0,-0.02,0.03
MAHINDCIE,372,168,204,2016-12-27,2017-01-02,181.26,0.02,179.6,182.75,0.02,0.0,-0.01,0.03,2017-01-02,2017-01-06,184.7,0.01,182.75,188.75,0.03,0.01,-0.0,0.03
VIPIND,346,142,204,2016-12-27,2017-01-02,116.96,0.0,115.95,118.3,0.02,0.01,0.0,0.01,2017-01-02,2017-01-06,121.93,0.03,118.3,122.0,0.03,0.01,-0.02,0.04
GSKCONS,422,219,203,2016-12-27,2017-01-02,5015.97,0.01,4999.75,5072.15,0.01,0.0,-0.0,0.01,2017-01-02,2017-01-06,5099.5,0.01,5072.15,5149.1,0.02,0.0,-0.0,0.02
KITEX,407,208,199,2016-12-27,2017-01-02,404.09,0.01,404.85,407.05,0.01,0.0,-0.01,0.01,2017-01-02,2017-01-06,410.26,0.01,407.05,414.5,0.02,0.0,-0.0,0.02
GRANULES,292,94,198,2016-12-27,2017-01-02,106.74,0.01,105.05,108.2,0.03,0.01,0.0,0.02,2017-01-02,2017-01-06,110.78,0.02,108.2,112.25,0.04,0.01,-0.01,0.03
IPCALAB,338,140,198,2016-12-27,2017-01-02,526.52,0.01,517.4,529.55,0.02,0.01,-0.01,0.02,2017-01-02,2017-01-06,540.44,0.02,529.55,544.65,0.03,0.01,-0.01,0.04
CAIRN,362,167,195,2016-12-27,2017-01-02,242.42,0.01,242.55,247.0,0.02,0.0,-0.02,0.02,2017-01-02,2017-01-06,249.41,0.02,247.0,255.7,0.03,0.01,-0.01,0.04
FINPIPE,417,223,194,2016-12-27,2017-01-02,437.43,0.03,432.45,438.75,0.01,0.0,-0.03,0.04,2017-01-02,2017-01-06,442.38,0.01,438.75,446.75,0.02,0.0,-0.01,0.01
