Symbol,Start_Price,Mean_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change,Volatility
DHFL.NS,233.9,269.89,303.15,0.26,0.01,-0.03,0.06,0.02
GMDCLTD.NS,91.6,107.96,118.85,0.26,0.01,-0.05,0.06,0.02
BALRAMCHIN.NS,118.95,138.54,154.0,0.26,0.01,-0.02,0.06,0.02
KAJARIACER.NS,450.7,529.57,578.75,0.25,0.01,-0.02,0.06,0.02
RAMCOCEM.NS,529.5,617.44,680.05,0.25,0.01,-0.05,0.05,0.02
IIFL.NS,259.05,278.89,331.55,0.25,0.01,-0.03,0.06,0.02
BAJFINANCE.NS,808.95,935.13,1040.85,0.25,0.01,-0.02,0.07,0.02
IBULHSGFIN.NS,639.25,726.07,820.45,0.25,0.01,-0.03,0.04,0.02
ANANTRAJ.NS,38.05,43.56,48.8,0.25,0.01,-0.04,0.08,0.03
CAPF.NS,528.1,613.08,677.8,0.25,0.01,-0.03,0.06,0.02
BANKINDIA.NS,107.05,115.51,136.85,0.25,0.01,-0.03,0.06,0.02
KWALITY.NS,117.65,135.02,150.45,0.25,0.01,-0.03,0.05,0.02
NATCOPHARM.NS,583.25,646.56,751.75,0.25,0.01,-0.04,0.05,0.02
JKCEMENT.NS,651.75,723.16,840.45,0.25,0.01,-0.02,0.06,0.02
GODREJIND.NS,402.9,442.39,511.6,0.24,0.01,-0.01,0.1,0.02
ASHOKA.NS,155.0,169.75,196.15,0.24,0.01,-0.04,0.05,0.02
DEEPAKFERT.NS,206.85,243.65,262.1,0.24,0.01,-0.05,0.14,0.03
TRIDENT.NS,55.95,63.56,71.3,0.24,0.01,-0.05,0.08,0.03
VINATIORGA.NS,582.2,672.7,740.7,0.24,0.01,-0.02,0.05,0.02
JUBLFOOD.NS,785.25,868.68,1001.1,0.24,0.01,-0.05,0.09,0.02
KOLTEPATIL.NS,84.6,93.28,107.65,0.24,0.01,-0.06,0.18,0.05
GPPL.NS,129.25,138.63,164.05,0.24,0.01,-0.04,0.05,0.02
NLCINDIA.NS,74.85,87.15,95.25,0.24,0.01,-0.04,0.09,0.02
CANFINHOME.NS,1589.6,1737.55,1991.85,0.23,0.01,-0.09,0.07,0.03
CROMPGREAV.NS,57.65,63.71,72.35,0.23,0.01,-0.03,0.04,0.02
CAPLIPOINT.NS,341.45,390.95,428.95,0.23,0.01,-0.03,0.11,0.03
APLAPOLLO.NS,891.15,1001.59,1123.35,0.23,0.01,-0.03,0.04,0.01
SREINFRA.NS,74.25,84.4,93.55,0.23,0.01,-0.04,0.07,0.03
ADANIPOWER.NS,29.15,34.24,36.75,0.23,0.01,-0.12,0.05,0.03
JUSTDIAL.NS,339.25,366.51,427.4,0.23,0.01,-0.05,0.14,0.03
ADANITRANS.NS,53.5,61.0,66.7,0.22,0.01,-0.06,0.06,0.02
RALLIS.NS,192.95,216.29,241.3,0.22,0.01,-0.02,0.06,0.02
GODFRYPHLP.NS,852.35,1033.1,1062.65,0.22,0.01,-0.02,0.18,0.03
MRPL.NS,88.75,103.7,110.55,0.22,0.01,-0.08,0.09,0.03
SOMANYCERA.NS,493.45,542.1,614.35,0.22,0.01,-0.02,0.08,0.02
YESBANK.NS,1124.7,1298.21,1408.2,0.22,0.01,-0.02,0.04,0.02
GODREJPROP.NS,293.75,331.12,366.2,0.22,0.01,-0.03,0.07,0.02
BAJAJELEC.NS,211.1,231.66,263.1,0.22,0.01,-0.03,0.05,0.02
CORPBANK.NS,41.05,43.77,51.35,0.22,0.01,-0.03,0.08,0.02
ITC.NS,224.7,253.12,277.65,0.21,0.01,-0.03,0.04,0.01
INDHOTEL.NS,95.25,104.27,117.6,0.21,0.01,-0.02,0.05,0.02
HINDZINC.NS,258.45,284.17,317.9,0.21,0.01,-0.03,0.05,0.02
INDUSINDBK.NS,1062.0,1201.39,1304.0,0.21,0.01,-0.02,0.06,0.02
COROMANDEL.NS,275.5,318.16,341.3,0.21,0.01,-0.03,0.05,0.02
GMRINFRA.NS,11.7,12.67,14.4,0.21,0.01,-0.04,0.06,0.02
MMTC.NS,51.4,63.57,63.35,0.21,0.01,-0.05,0.16,0.04
IOC.NS,313.25,355.91,387.45,0.21,0.01,-0.03,0.05,0.02
KEC.NS,134.2,146.44,166.2,0.21,0.01,-0.02,0.05,0.02
BLUESTARCO.NS,450.15,505.99,556.35,0.21,0.01,-0.03,0.05,0.02
TECHNO.NS,299.2,336.85,368.05,0.21,0.01,-0.03,0.06,0.02
TATACOMM.NS,625.15,677.2,774.6,0.21,0.01,-0.04,0.06,0.02
MUTHOOTFIN.NS,275.0,304.15,339.0,0.21,0.01,-0.05,0.07,0.03
APARINDS.NS,571.15,627.49,704.45,0.21,0.01,-0.06,0.1,0.02
BBTC.NS,486.65,551.05,601.25,0.21,0.01,-0.02,0.04,0.01
CCL.NS,254.05,283.08,310.9,0.2,0.01,-0.02,0.05,0.01
GDL.NS,223.25,244.59,273.4,0.2,0.01,-0.05,0.03,0.02
GVKPIL.NS,5.5,5.86,6.75,0.2,0.01,-0.04,0.07,0.02
ASHOKLEY.NS,77.7,86.42,95.3,0.2,0.01,-0.02,0.07,0.02
JUBILANT.NS,588.75,679.02,717.2,0.2,0.01,-0.06,0.11,0.03
PRISMCEM.NS,80.85,90.08,98.4,0.2,0.01,-0.05,0.07,0.03
DENABANK.NS,32.9,34.92,40.05,0.2,0.01,-0.03,0.07,0.02
SUZLON.NS,13.95,15.61,17.1,0.2,0.01,-0.05,0.09,0.02
IDBI.NS,67.8,75.06,82.6,0.2,0.01,-0.03,0.05,0.02
CHAMBLFERT.NS,65.85,79.63,80.75,0.2,0.01,-0.05,0.11,0.03
PVR.NS,1051.6,1213.59,1282.9,0.2,0.01,-0.04,0.05,0.02
UNIONBANK.NS,126.55,139.01,153.9,0.2,0.01,-0.08,0.1,0.03
ALBK.NS,60.55,65.59,74.0,0.2,0.01,-0.05,0.04,0.02
SUNDRMFAST.NS,278.25,310.16,339.8,0.2,0.01,-0.04,0.07,0.02
PTC.NS,72.0,81.01,88.2,0.2,0.01,-0.03,0.06,0.02
VSTIND.NS,2221.35,2442.72,2677.5,0.19,0.01,-0.03,0.07,0.02
TATAGLOBAL.NS,118.85,128.52,143.9,0.19,0.01,-0.03,0.06,0.02
KSCL.NS,392.1,446.69,476.4,0.19,0.01,-0.04,0.05,0.02
ULTRACEMCO.NS,3107.1,3463.29,3752.45,0.19,0.01,-0.02,0.04,0.01
HDIL.NS,58.05,62.66,69.85,0.19,0.01,-0.07,0.07,0.03
SEQUENT.NS,109.4,124.09,131.85,0.19,0.01,-0.04,0.11,0.03
PNB.NS,120.0,128.84,144.65,0.19,0.01,-0.04,0.05,0.02
RENUKA.NS,13.2,15.0,16.0,0.19,0.01,-0.04,0.12,0.03
GRANULES.NS,108.55,112.57,131.05,0.19,0.01,-0.1,0.1,0.03
GSPL.NS,137.65,147.23,165.6,0.18,0.01,-0.05,0.06,0.02
IRB.NS,198.55,216.98,236.65,0.18,0.01,-0.05,0.05,0.02
BANKBARODA.NS,153.0,161.24,184.05,0.18,0.01,-0.04,0.05,0.02
ABB.NS,1026.4,1099.57,1225.6,0.18,0.01,-0.04,0.13,0.03
LITL.NS,3.55,3.81,4.25,0.18,0.01,-0.03,0.09,0.02
ABIRLANUVO.NS,1198.4,1310.18,1435.3,0.18,0.01,-0.06,0.05,0.02
GUJGASLTD.NS,516.8,551.95,616.65,0.18,0.01,-0.02,0.05,0.02
ZEELEARN.NS,39.25,44.24,47.05,0.18,0.01,-0.03,0.06,0.02
IFCI.NS,25.9,28.37,31.1,0.18,0.01,-0.06,0.13,0.03
AMBUJACEM.NS,200.05,219.03,238.4,0.18,0.01,-0.02,0.04,0.02
HEIDELBERG.NS,105.45,116.52,125.75,0.18,0.01,-0.05,0.07,0.02
MCLEODRUSS.NS,142.65,151.08,171.2,0.18,0.01,-0.03,0.06,0.02
HFCL.NS,12.25,13.39,14.6,0.18,0.01,-0.02,0.09,0.02
RECLTD.NS,122.75,136.08,146.5,0.18,0.01,-0.04,0.04,0.02
BATAINDIA.NS,424.9,470.52,509.2,0.18,0.01,-0.02,0.04,0.01
CONCOR.NS,1102.2,1183.09,1313.1,0.18,0.01,-0.02,0.04,0.01
NMDC.NS,123.1,139.0,147.75,0.18,0.01,-0.03,0.04,0.02
CENTURYTEX.NS,773.4,835.4,929.7,0.18,0.01,-0.03,0.04,0.02
EDELWEISS.NS,98.2,107.3,118.0,0.18,0.01,-0.07,0.07,0.03
PEL.NS,1468.3,1690.04,1765.8,0.18,0.01,-0.04,0.04,0.02
BOMDYEING.NS,48.75,53.48,58.55,0.18,0.01,-0.04,0.06,0.02
BHARTIARTL.NS,295.55,323.02,355.25,0.18,0.01,-0.02,0.07,0.02
SMLISUZU.NS,1044.95,1175.86,1249.25,0.18,0.01,-0.03,0.04,0.02
SUNDARMFIN.NS,1139.4,1250.58,1368.95,0.18,0.01,-0.02,0.04,0.01
TORNTPOWER.NS,174.0,188.56,208.3,0.18,0.01,-0.04,0.06,0.02
EXIDEIND.NS,173.3,190.81,207.6,0.18,0.01,-0.03,0.03,0.01
BPCL.NS,610.9,670.2,726.85,0.17,0.01,-0.03,0.04,0.02
AVANTIFEED.NS,485.35,545.45,573.35,0.17,0.0,-0.04,0.07,0.02
ANDHRABANK.NS,48.5,50.22,57.7,0.17,0.01,-0.04,0.06,0.02
SCI.NS,57.55,64.86,68.55,0.17,0.01,-0.03,0.05,0.02
ZEEL.NS,442.65,477.13,522.6,0.17,0.0,-0.02,0.04,0.02
MARUTI.NS,5197.15,5716.37,6157.1,0.17,0.0,-0.01,0.05,0.01
MFSL.NS,529.2,563.67,627.35,0.17,0.01,-0.01,0.03,0.01
SRTRANSFIN.NS,803.65,922.18,952.5,0.17,0.0,-0.03,0.04,0.02
EMAMILTD.NS,961.15,1038.8,1139.85,0.17,0.01,-0.03,0.07,0.02
BAJAJHIND.NS,13.3,14.63,15.75,0.17,0.0,-0.03,0.08,0.03
INFIBEAM.NS,1160.75,1210.01,1374.15,0.17,0.0,-0.03,0.1,0.02
PUNJLLOYD.NS,18.65,20.29,22.0,0.17,0.0,-0.02,0.05,0.02
IGL.NS,877.1,937.66,1027.7,0.16,0.0,-0.02,0.03,0.01
HONAUT.NS,8503.85,9264.61,9948.65,0.16,0.0,-0.02,0.04,0.01
VTL.NS,1098.5,1174.85,1295.25,0.16,0.0,-0.03,0.04,0.01
KALPATPOWR.NS,241.5,267.59,283.3,0.16,0.0,-0.03,0.04,0.02
KESORAMIND.NS,123.95,138.71,145.2,0.16,0.0,-0.08,0.06,0.03
TATASTEEL.NS,390.85,441.4,459.85,0.16,0.0,-0.03,0.04,0.02
RADICO.NS,110.65,117.65,129.25,0.16,0.0,-0.02,0.05,0.02
