,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,Pct_Change,Min_Day_Change,Max_Day_Change
PVR,2016-12-22,2017-01-03,1093.7,50.73,1048.45,1170.25,11.62,-2.52,5.08
JPASSOCIAT,2016-12-22,2017-01-03,7.65,0.37,7.35,8.2,11.56,-2.7,8.05
INDIANB,2016-12-22,2017-01-03,213.26,7.58,200.9,224.0,11.5,-5.24,4.26
TVTODAY,2016-12-22,2017-01-03,263.04,8.69,258.3,287.8,11.42,-2.05,8.34
CENTURYTEX,2016-12-22,2017-01-03,789.55,24.54,755.55,839.5,11.11,-1.7,4.54
DCMSHRIRAM,2016-12-22,2017-01-03,208.65,7.29,200.4,222.6,11.08,-4.75,3.36
KRBL,2016-12-22,2017-01-03,291.23,10.77,280.05,311.05,11.07,-2.25,4.14
HINDPETRO,2016-12-22,2017-01-03,430.29,15.55,418.05,464.3,11.06,-1.72,3.18
ITDCEM,2016-12-22,2017-01-03,148.68,7.52,144.5,160.3,10.93,-3.38,11.19
ICIL,2016-12-22,2017-01-03,160.67,6.09,155.4,172.2,10.81,-3.41,3.73
KWALITY,2016-12-22,2017-01-03,122.02,5.03,118.5,131.15,10.68,-3.07,5.28
BATAINDIA,2016-12-22,2017-01-03,435.71,15.07,418.6,463.15,10.64,-0.99,3.58
JISLJALEQS,2016-12-22,2017-01-03,85.34,3.07,82.6,91.35,10.59,-3.65,2.93
HINDCOPPER,2016-12-22,2017-01-03,59.34,1.99,56.45,62.35,10.45,-2.59,6.54
GSFC,2016-12-22,2017-01-03,94.64,3.57,90.8,100.15,10.3,-4.7,4.06
TIMKEN,2016-12-22,2017-01-03,597.02,19.77,583.65,642.75,10.13,-1.62,3.9
OCL,2016-12-22,2017-01-03,702.8,29.05,695.35,763.7,9.83,-5.67,5.56
INDIACEM,2016-12-22,2017-01-03,114.2,4.68,111.65,122.6,9.81,-3.88,5.19
SINTEX,2016-12-22,2017-01-03,74.04,2.67,73.85,81.0,9.68,-2.96,7.78
GEPIL,2016-12-22,2017-01-03,468.31,14.06,459.4,503.5,9.6,-2.47,5.69
SHARDACROP,2016-12-22,2017-01-03,446.16,12.84,439.8,481.8,9.55,-2.28,6.5
BLUESTARCO,2016-12-22,2017-01-03,461.78,15.08,447.3,489.9,9.52,-2.76,3.27
KAJARIACER,2016-12-22,2017-01-03,455.66,18.2,448.55,490.45,9.34,-2.21,5.83
KOLTEPATIL,2016-12-22,2017-01-03,86.64,5.63,86.2,94.2,9.28,-5.61,19.95
ALOKTEXT,2016-12-22,2017-01-03,3.36,0.13,3.25,3.55,9.23,-4.62,6.25
FLFL,2016-12-22,2017-01-03,124.88,4.78,120.0,131.05,9.21,-2.48,3.48
SREINFRA,2016-12-22,2017-01-03,74.55,2.5,73.25,79.95,9.15,-3.91,5.33
EIDPARRY,2016-12-22,2017-01-03,250.95,8.29,245.35,267.75,9.13,-1.47,3.66
RAMCOCEM,2016-12-22,2017-01-03,535.54,18.16,522.05,569.2,9.03,-4.36,2.53
GDL,2016-12-22,2017-01-03,235.38,8.98,227.7,248.1,8.96,-1.95,3.07
ORISSAMINE,2016-12-22,2017-01-03,2138.95,78.32,2085.6,2272.35,8.95,-2.58,9.55
KESORAMIND,2016-12-22,2017-01-03,125.89,5.01,126.55,137.7,8.81,-3.99,5.28
ORIENTCEM,2016-12-22,2017-01-03,124.11,3.32,118.0,128.35,8.77,-5.22,5.15
REPCOHOME,2016-12-22,2017-01-03,537.73,20.0,521.9,567.3,8.7,-2.08,4.21
ABIRLANUVO,2016-12-22,2017-01-03,1224.91,44.58,1188.55,1291.55,8.67,-1.63,4.66
JUBILANT,2016-12-22,2017-01-03,605.64,24.28,588.15,638.0,8.48,-4.76,5.69
SUPRAJIT,2016-12-22,2017-01-03,192.1,7.12,190.05,206.15,8.47,-2.71,6.91
MTNL,2016-12-22,2017-01-03,19.47,0.9,18.4,19.95,8.42,-3.16,9.14
JKLAKSHMI,2016-12-22,2017-01-03,349.61,9.21,335.75,363.95,8.4,-1.35,4.12
DYNAMATECH,2016-12-22,2017-01-03,2854.9,70.87,2784.5,3017.0,8.35,-3.52,3.46
MARUTI,2016-12-22,2017-01-03,5265.07,130.71,5084.4,5508.4,8.34,-1.04,2.75
PRAJIND,2016-12-22,2017-01-03,80.0,1.82,77.55,84.0,8.32,-3.77,4.38
BRFL,2016-12-22,2017-01-03,141.61,5.88,137.2,148.45,8.2,-3.22,11.45
8KMILES,2016-12-22,2017-01-03,655.26,21.59,654.3,707.8,8.18,-3.61,4.98
BOSCHLTD,2016-12-22,2017-01-03,20130.86,694.64,19234.9,20798.6,8.13,-2.02,3.32
EMAMILTD,2016-12-22,2017-01-03,977.26,21.63,953.3,1030.6,8.11,-3.5,5.99
COROMANDEL,2016-12-22,2017-01-03,283.95,10.58,277.8,300.3,8.1,-1.38,3.39
NAUKRI,2016-12-22,2017-01-03,876.35,36.22,818.3,884.35,8.07,-1.51,7.06
IGL,2016-12-22,2017-01-03,899.89,20.74,876.6,946.4,7.96,-2.24,2.94
GULFOILLUB,2016-12-22,2017-01-03,639.14,26.95,637.55,687.7,7.87,-6.69,4.48
HONAUT,2016-12-22,2017-01-03,8660.8,263.22,8456.45,9116.05,7.8,-1.35,3.93
GODREJPROP,2016-12-22,2017-01-03,302.69,8.5,298.2,321.2,7.71,-1.49,3.46
SUNTECK,2016-12-22,2017-01-03,218.04,7.95,218.4,235.15,7.67,-3.77,5.28
VSTIND,2016-12-22,2017-01-03,2316.38,79.07,2229.9,2400.45,7.65,-2.85,7.41
AMBUJACEM,2016-12-22,2017-01-03,204.46,5.63,199.95,215.2,7.63,-1.09,4.02
DISHMAN,2016-12-22,2017-01-03,214.38,6.95,213.8,230.1,7.62,-3.43,4.38
BBTC,2016-12-22,2017-01-03,503.19,16.57,489.2,525.9,7.5,-1.9,3.04
IBREALEST,2016-12-22,2017-01-03,71.57,2.25,70.75,76.05,7.49,-1.7,6.39
RAJESHEXPO,2016-12-22,2017-01-03,453.45,11.05,443.7,476.5,7.39,-0.67,2.21
WHIRLPOOL,2016-12-22,2017-01-03,878.24,22.35,867.8,931.85,7.38,-3.11,4.23
HATHWAY,2016-12-22,2017-01-03,34.64,0.83,34.1,36.6,7.33,-1.03,3.77
RKFORGE,2016-12-22,2017-01-03,295.95,7.16,289.0,310.0,7.27,-3.38,5.93
SUNTV,2016-12-22,2017-01-03,490.59,13.38,488.1,523.55,7.26,-3.62,4.38
JKIL,2016-12-22,2017-01-03,203.59,8.25,202.7,217.4,7.25,-4.7,4.58
SNOWMAN,2016-12-22,2017-01-03,50.85,1.48,51.0,54.7,7.25,-3.23,5.8
SOLARINDS,2016-12-22,2017-01-03,672.65,15.95,666.05,713.75,7.16,-2.17,4.87
JBCHEPHARM,2016-12-22,2017-01-03,340.25,10.27,330.05,353.65,7.15,-3.42,5.15
VOLTAS,2016-12-22,2017-01-03,320.05,8.62,310.65,332.7,7.1,-2.37,3.98
HIMATSEIDE,2016-12-22,2017-01-03,286.28,10.1,279.05,298.45,6.95,-2.52,4.28
SCHNEIDER,2016-12-22,2017-01-03,137.42,3.82,137.65,147.2,6.94,-3.54,6.74
LITL,2016-12-22,2017-01-03,3.6,0.1,3.6,3.85,6.94,-1.41,4.05
ITC,2016-12-22,2017-01-03,233.5,6.83,227.55,243.35,6.94,-1.25,4.02
JAGRAN,2016-12-22,2017-01-03,171.87,5.56,168.75,180.4,6.9,-1.58,3.49
KSCL,2016-12-22,2017-01-03,400.65,9.72,391.1,418.05,6.89,-1.68,3.27
CONCOR,2016-12-22,2017-01-03,1111.38,25.86,1100.9,1176.8,6.89,-0.83,3.13
ADANIENT,2016-12-22,2017-01-03,73.11,2.56,71.7,76.55,6.76,-2.58,4.79
JUBLFOOD,2016-12-22,2017-01-03,826.44,26.32,812.8,867.65,6.75,-3.39,2.83
SUNDRMFAST,2016-12-22,2017-01-03,282.72,8.15,275.05,293.4,6.67,-4.31,5.95
NCC,2016-12-22,2017-01-03,79.66,2.56,78.75,84.0,6.67,-2.82,3.66
HAVELLS,2016-12-22,2017-01-03,328.05,10.0,321.8,342.85,6.54,-3.69,4.23
TATASPONGE,2016-12-22,2017-01-03,561.35,11.93,550.8,586.8,6.54,-2.92,2.47
BASF,2016-12-22,2017-01-03,1111.59,33.15,1085.3,1156.2,6.53,-2.32,3.17
BPCL,2016-12-22,2017-01-03,623.46,15.57,610.75,650.55,6.52,-1.42,3.98
CCL,2016-12-22,2017-01-03,259.41,6.53,251.15,267.5,6.51,-2.64,4.27
UFLEX,2016-12-22,2017-01-03,263.74,8.39,260.7,277.65,6.5,-2.48,4.28
POLARIS,2016-12-22,2017-01-03,148.59,3.5,145.95,155.4,6.47,-2.86,2.85
GODREJCP,2016-12-22,2017-01-03,1473.29,35.66,1440.0,1533.2,6.47,-0.76,1.58
GRUH,2016-12-22,2017-01-03,316.16,8.96,307.1,326.8,6.41,-3.39,3.31
PEL,2016-12-22,2017-01-03,1540.07,54.32,1483.45,1578.0,6.37,-4.41,4.56
BIRLACORPN,2016-12-22,2017-01-03,636.11,17.25,627.4,667.35,6.37,-1.82,6.3
EXIDEIND,2016-12-22,2017-01-03,177.11,3.94,172.05,183.0,6.36,-0.61,2.2
DHFL,2016-12-22,2017-01-03,239.62,6.24,231.1,245.8,6.36,-2.06,3.33
SUVEN,2016-12-22,2017-01-03,167.63,4.65,165.4,175.85,6.32,-2.3,3.94
KTKBANK,2016-12-22,2017-01-03,110.59,3.13,109.35,116.25,6.31,-3.0,4.54
CHOLAFIN,2016-12-22,2017-01-03,940.13,24.02,902.2,959.05,6.3,-4.21,5.2
CASTROLIND,2016-12-22,2017-01-03,373.0,8.97,362.9,385.7,6.28,-2.39,2.51
WABAG,2016-12-22,2017-01-03,464.51,8.62,451.6,479.7,6.22,-2.39,1.73
TTKPRESTIG,2016-12-22,2017-01-03,5543.3,161.0,5381.15,5715.75,6.22,-0.65,3.75
FDC,2016-12-22,2017-01-03,215.85,5.69,209.6,222.6,6.2,-1.92,2.24
DEEPAKFERT,2016-12-22,2017-01-03,207.41,3.49,203.2,215.75,6.18,-1.82,2.59
WABCOINDIA,2016-12-22,2017-01-03,5028.09,194.56,4943.4,5247.95,6.16,-2.43,11.34
GRASIM,2016-12-22,2017-01-03,836.2,23.11,818.65,869.1,6.16,-1.65,3.99
DHANUKA,2016-12-22,2017-01-03,728.16,14.85,715.6,759.65,6.16,-0.62,1.77
COALINDIA,2016-12-22,2017-01-03,294.09,6.41,287.65,305.3,6.14,-1.56,2.16
SHK,2016-12-22,2017-01-03,299.2,7.31,287.5,305.15,6.14,-2.01,2.96
INOXLEISUR,2016-12-22,2017-01-03,227.37,4.4,220.25,233.7,6.11,-0.35,2.38
CROMPGREAV,2016-12-22,2017-01-03,58.26,1.38,57.25,60.75,6.11,-3.04,2.98
ZEELEARN,2016-12-22,2017-01-03,38.98,0.84,38.5,40.85,6.1,-2.55,2.38
HDIL,2016-12-22,2017-01-03,57.97,2.65,58.4,61.95,6.08,-6.55,7.44
CARBORUNIV,2016-12-22,2017-01-03,244.69,4.4,239.35,253.8,6.04,-1.22,1.95
SADBHAV,2016-12-22,2017-01-03,268.51,6.68,260.15,275.85,6.03,-3.29,3.73
DALMIABHA,2016-12-22,2017-01-03,1400.96,87.22,1477.7,1566.45,6.01,-7.54,7.75
ARVIND,2016-12-22,2017-01-03,340.89,10.25,339.85,360.25,6.0,-3.5,5.78
ALLCARGO,2016-12-22,2017-01-03,176.36,3.98,173.65,184.05,5.99,-1.84,2.26
DCBBANK,2016-12-22,2017-01-03,106.99,2.24,105.2,111.5,5.99,-2.51,3.54
KEC,2016-12-22,2017-01-03,137.28,3.28,134.9,142.85,5.89,-2.21,2.56
BGRENERGY,2016-12-22,2017-01-03,111.55,3.08,111.3,117.8,5.84,-2.72,2.17
UPL,2016-12-22,2017-01-03,635.58,14.06,618.95,655.0,5.82,-2.34,3.94
ULTRACEMCO,2016-12-22,2017-01-03,3201.24,87.15,3143.7,3326.7,5.82,-1.52,3.73
DBCORP,2016-12-22,2017-01-03,358.06,5.6,350.0,370.0,5.71,-0.6,2.56
TVSSRICHAK,2016-12-22,2017-01-03,3224.93,55.51,3206.8,3389.7,5.7,-0.47,5.94
CEATLTD,2016-12-22,2017-01-03,1152.48,20.35,1129.1,1193.5,5.7,-1.95,2.44
CRISIL,2016-12-22,2017-01-03,2194.1,36.2,2152.8,2274.5,5.65,-1.27,3.13
BERGEPAINT,2016-12-22,2017-01-03,203.85,7.02,202.05,213.45,5.64,-4.69,4.62
JPINFRATEC,2016-12-22,2017-01-03,7.21,0.2,7.1,7.5,5.63,-2.1,4.96
GATI,2016-12-22,2017-01-03,113.52,2.63,113.2,119.55,5.61,-3.48,3.05
EICHERMOT,2016-12-22,2017-01-03,21370.95,700.58,21305.3,22500.7,5.61,-3.1,3.31
GMRINFRA,2016-12-22,2017-01-03,11.7,0.28,11.6,12.25,5.6,-3.42,2.16
NMDC,2016-12-22,2017-01-03,123.92,3.18,123.35,130.25,5.59,-3.33,3.89
VIPIND,2016-12-22,2017-01-03,117.05,2.3,116.7,123.2,5.57,-1.38,4.14
TRIDENT,2016-12-22,2017-01-03,56.92,1.56,56.8,59.95,5.55,-2.91,2.58
GODREJIND,2016-12-22,2017-01-03,417.53,11.71,411.25,434.05,5.54,-2.03,3.32
WELSPUNIND,2016-12-22,2017-01-03,65.98,1.96,65.85,69.45,5.47,-3.26,6.97
SCI,2016-12-22,2017-01-03,58.2,1.37,57.8,60.95,5.45,-1.91,3.08
CHAMBLFERT,2016-12-22,2017-01-03,69.42,1.78,67.15,70.8,5.44,-2.61,3.49
HINDUNILVR,2016-12-22,2017-01-03,809.23,14.7,787.05,829.85,5.44,-1.22,1.56
RALLIS,2016-12-22,2017-01-03,194.14,5.07,194.35,204.9,5.43,-1.1,5.85
IDFC,2016-12-22,2017-01-03,52.95,1.49,51.7,54.5,5.42,-3.59,6.6
MUTHOOTFIN,2016-12-22,2017-01-03,276.78,6.37,271.95,286.55,5.37,-1.95,2.71
AKZOINDIA,2016-12-22,2017-01-03,1394.04,25.73,1362.55,1434.7,5.3,-2.26,2.67
PETRONET,2016-12-22,2017-01-03,363.38,8.69,361.7,380.75,5.27,-3.15,3.33
BAJAJELEC,2016-12-22,2017-01-03,214.7,5.62,215.1,226.4,5.25,-2.7,2.42
INTELLECT,2016-12-22,2017-01-03,137.78,4.2,136.35,143.5,5.24,-4.59,3.06
RTNPOWER,2016-12-22,2017-01-03,6.79,0.19,6.7,7.05,5.22,-2.26,3.62
JPPOWER,2016-12-22,2017-01-03,3.9,0.07,3.85,4.05,5.19,-1.3,2.6
CUMMINSIND,2016-12-22,2017-01-03,810.53,14.51,801.45,842.9,5.17,-0.68,2.03
NLCINDIA,2016-12-22,2017-01-03,75.63,1.5,74.75,78.55,5.08,-1.2,2.3
APLAPOLLO,2016-12-22,2017-01-03,903.11,15.41,880.5,925.15,5.07,-3.56,2.5
CERA,2016-12-22,2017-01-03,1966.36,49.38,1947.55,2045.25,5.02,-1.6,4.52
NETWORK18,2016-12-22,2017-01-03,33.03,1.14,32.9,34.55,5.02,-3.54,8.96
AJANTPHARM,2016-12-22,2017-01-03,1758.69,37.88,1712.7,1797.35,4.94,-3.72,2.79
EROSMEDIA,2016-12-22,2017-01-03,162.39,2.94,161.1,169.0,4.9,-2.56,2.95
HFCL,2016-12-22,2017-01-03,12.4,0.32,12.3,12.9,4.88,-2.77,3.29
RIIL,2016-12-22,2017-01-03,382.01,8.71,379.35,397.85,4.88,-2.01,3.58
SHREECEM,2016-12-22,2017-01-03,13909.15,429.67,13471.0,14128.5,4.88,-4.45,6.34
BHEL,2016-12-22,2017-01-03,120.18,2.08,119.0,124.8,4.87,-1.51,2.06
JKTYRE,2016-12-22,2017-01-03,112.37,2.38,111.15,116.55,4.86,-2.25,2.07
CESC,2016-12-22,2017-01-03,629.25,11.68,614.35,643.95,4.82,-1.78,3.03
IFCI,2016-12-22,2017-01-03,26.27,1.23,26.1,27.35,4.79,-5.6,13.79
BEML,2016-12-22,2017-01-03,975.25,23.85,963.7,1009.3,4.73,-2.19,4.22
SYNGENE,2016-12-22,2017-01-03,554.79,17.71,551.4,577.45,4.72,-3.96,7.07
RDEL,2016-12-22,2017-01-03,54.48,0.81,53.2,55.7,4.7,-1.56,2.54
MFSL,2016-12-22,2017-01-03,538.9,10.85,530.25,555.0,4.67,-1.14,1.98
ASHOKLEY,2016-12-22,2017-01-03,78.66,1.49,77.45,81.05,4.65,-1.54,2.03
TATACHEM,2016-12-22,2017-01-03,492.72,10.17,487.2,509.75,4.63,-2.3,2.44
IRB,2016-12-22,2017-01-03,196.22,5.69,196.9,206.0,4.62,-4.84,4.16
NHPC,2016-12-22,2017-01-03,26.51,0.42,26.1,27.3,4.6,-3.69,1.87
GSPL,2016-12-22,2017-01-03,136.7,2.71,133.95,140.1,4.59,-4.47,2.93
OIL,2016-12-22,2017-01-03,457.57,43.83,438.75,458.45,4.49,-25.18,1.79
MRF,2016-12-22,2017-01-03,48885.96,571.13,48234.6,50391.4,4.47,-1.38,2.66
SEQUENT,2016-12-22,2017-01-03,110.56,2.09,109.8,114.7,4.46,-0.41,4.37
ADANIPOWER,2016-12-22,2017-01-03,29.59,0.92,29.35,30.65,4.43,-4.29,4.68
BALKRISIND,2016-12-22,2017-01-03,1078.16,16.99,1050.55,1097.05,4.43,-3.49,3.28
SUNPHARMA,2016-12-22,2017-01-03,621.56,8.95,609.15,636.1,4.42,-1.96,2.49
SRF,2016-12-22,2017-01-03,1512.01,31.21,1484.9,1550.2,4.4,-2.32,3.54
TATAMTRDVR,2016-12-22,2017-01-03,297.4,6.31,295.55,308.4,4.35,-2.03,3.16
TATACOFFEE,2016-12-22,2017-01-03,112.73,2.21,112.05,116.9,4.33,-3.47,1.7
RCF,2016-12-22,2017-01-03,46.14,1.09,45.8,47.75,4.26,-1.86,2.86
TATAGLOBAL,2016-12-22,2017-01-03,120.81,2.12,119.4,124.45,4.23,-1.81,3.03
PGHH,2016-12-22,2017-01-03,6886.14,167.22,6656.85,6935.7,4.19,-1.62,3.15
BHARTIARTL,2016-12-22,2017-01-03,300.88,5.22,292.25,304.45,4.17,-3.13,1.75
SFCL,2016-12-22,2017-01-03,96.67,1.3,95.25,99.2,4.15,-1.19,1.85
TRENT,2016-12-22,2017-01-03,198.64,2.87,193.1,201.0,4.09,-1.5,2.02
SOBHA,2016-12-22,2017-01-03,247.8,3.57,246.65,256.7,4.07,-0.59,2.67
PERSISTENT,2016-12-22,2017-01-03,611.95,10.27,603.35,627.8,4.05,-1.29,2.62
3MINDIA,2016-12-22,2017-01-03,10641.73,318.48,10492.3,10917.2,4.05,-1.82,2.67
GREAVESCOT,2016-12-22,2017-01-03,120.63,2.22,119.95,124.8,4.04,-1.92,2.56
LUPIN,2016-12-22,2017-01-03,1462.78,29.56,1447.4,1505.5,4.01,-2.96,3.08
JETAIRWAYS,2016-12-22,2017-01-03,349.05,8.06,350.15,364.15,4.0,-2.51,4.4
LT,2016-12-22,2017-01-03,1345.24,13.91,1314.65,1367.2,4.0,-2.04,1.73
NAVKARCORP,2016-12-22,2017-01-03,163.59,3.91,163.8,170.35,4.0,-2.47,2.76
APOLLOHOSP,2016-12-22,2017-01-03,1163.24,23.87,1159.3,1205.45,3.98,-1.98,1.7
UBL,2016-12-22,2017-01-03,772.08,10.68,757.3,787.45,3.98,-3.28,2.51
SKFINDIA,2016-12-22,2017-01-03,1252.77,21.19,1242.15,1291.35,3.96,-2.17,1.82
GAYAPROJ,2016-12-22,2017-01-03,641.36,20.6,635.25,660.35,3.95,-3.36,5.15
ADANIPORTS,2016-12-22,2017-01-03,267.69,4.79,263.55,273.95,3.95,-3.88,2.67
MOIL,2016-12-22,2017-01-03,355.49,9.06,353.1,367.05,3.95,-4.06,2.47
IBULHSGFIN,2016-12-22,2017-01-03,646.36,13.63,637.4,662.25,3.9,-2.42,4.37
SAIL,2016-12-22,2017-01-03,49.58,1.18,49.75,51.65,3.82,-3.04,2.43
KSBPUMPS,2016-12-22,2017-01-03,616.98,11.1,596.65,619.35,3.8,-1.79,3.29
ACC,2016-12-22,2017-01-03,1310.08,22.33,1294.4,1343.55,3.8,-0.94,1.61
ZEEL,2016-12-22,2017-01-03,444.74,7.58,441.55,458.3,3.79,-2.45,1.56
EDELWEISS,2016-12-22,2017-01-03,96.47,2.15,96.2,99.85,3.79,-6.42,3.65
DABUR,2016-12-22,2017-01-03,270.87,6.03,265.5,275.5,3.77,-2.19,4.06
INDUSINDBK,2016-12-22,2017-01-03,1081.66,18.12,1060.8,1100.6,3.75,-2.34,2.18
MARICO,2016-12-22,2017-01-03,250.16,5.9,248.5,257.75,3.72,-2.55,3.52
ABAN,2016-12-22,2017-01-03,229.95,6.42,232.5,241.15,3.72,-3.59,4.53
TECHM,2016-12-22,2017-01-03,477.26,9.41,473.95,491.55,3.71,-1.45,1.8
ADANITRANS,2016-12-22,2017-01-03,55.22,1.57,54.65,56.65,3.66,-3.36,6.38
GAIL,2016-12-22,2017-01-03,430.62,5.86,425.95,441.45,3.64,-1.04,3.21
UNITECH,2016-12-22,2017-01-03,4.1,0.14,4.15,4.3,3.61,-3.7,7.5
HEXAWARE,2016-12-22,2017-01-03,204.81,3.67,203.05,210.35,3.6,-1.77,1.96
TUBEINVEST,2016-12-22,2017-01-03,572.97,10.42,562.8,582.8,3.55,-2.57,3.09
FINPIPE,2016-12-22,2017-01-03,435.99,6.41,429.8,445.0,3.54,-3.31,4.37
APARINDS,2016-12-22,2017-01-03,572.69,6.33,566.2,585.95,3.49,-1.18,1.2
POWERGRID,2016-12-22,2017-01-03,182.24,2.48,181.75,188.05,3.47,-1.92,2.4
RELIANCE,2016-12-22,2017-01-03,1065.81,14.27,1053.35,1089.4,3.42,-1.41,1.65
JSWENERGY,2016-12-22,2017-01-03,59.11,1.9,58.6,60.6,3.41,-4.97,3.53
BAJAJCORP,2016-12-22,2017-01-03,364.13,7.01,364.65,376.85,3.35,-2.06,2.61
DLF,2016-12-22,2017-01-03,112.69,4.66,115.2,119.05,3.34,-7.56,6.55
MAHINDCIE,2016-12-22,2017-01-03,180.13,3.03,176.7,182.6,3.34,-3.42,2.99
ECLERX,2016-12-22,2017-01-03,1376.12,23.69,1352.4,1397.55,3.34,-1.85,2.3
YESBANK,2016-12-22,2017-01-03,1134.4,18.31,1126.15,1162.9,3.26,-2.06,3.17
TATAELXSI,2016-12-22,2017-01-03,1367.01,38.96,1358.35,1402.35,3.24,-3.55,2.56
IPAPPM,2016-12-22,2017-01-03,295.21,3.87,294.6,304.1,3.22,-1.6,2.72
PFS,2016-12-22,2017-01-03,37.36,0.61,37.35,38.55,3.21,-1.97,2.12
TORNTPHARM,2016-12-22,2017-01-03,1300.72,21.95,1298.0,1339.45,3.19,-2.24,2.61
LAXMIMACH,2016-12-22,2017-01-03,3939.6,42.05,3903.9,4027.2,3.16,-1.76,2.35
RUCHISOYA,2016-12-22,2017-01-03,19.05,0.27,19.1,19.7,3.14,-0.79,2.07
TRITURBINE,2016-12-22,2017-01-03,117.03,2.14,116.65,120.3,3.13,-1.54,2.62
NTPC,2016-12-22,2017-01-03,162.48,2.04,160.5,165.45,3.08,-1.92,1.74
SIMPLEXINF,2016-12-22,2017-01-03,275.82,9.24,275.2,283.65,3.07,-4.07,8.24
EQUITAS,2016-12-22,2017-01-03,145.03,2.96,144.95,149.35,3.04,-1.89,3.06
ASIANPAINT,2016-12-22,2017-01-03,880.17,12.36,870.3,896.6,3.02,-0.89,1.53
FAGBEARING,2016-12-22,2017-01-03,3847.39,38.89,3805.8,3920.75,3.02,-1.28,1.28
INGERRAND,2016-12-22,2017-01-03,668.9,12.34,663.25,683.2,3.01,-1.59,3.31
RAIN,2016-12-22,2017-01-03,53.44,1.16,53.25,54.85,3.0,-3.01,2.81
ALKEM,2016-12-22,2017-01-03,1614.88,27.72,1607.6,1655.15,2.96,-3.44,3.97
IDBI,2016-12-22,2017-01-03,68.13,1.2,67.85,69.85,2.95,-2.73,3.51
TECHNO,2016-12-22,2017-01-03,301.13,3.79,294.55,303.25,2.95,-1.57,1.58
PUNJLLOYD,2016-12-22,2017-01-03,18.77,0.3,18.8,19.35,2.93,-1.61,1.87
IIFL,2016-12-22,2017-01-03,259.94,3.97,254.9,262.35,2.92,-4.06,2.38
NAVINFLUOR,2016-12-22,2017-01-03,2480.52,47.44,2471.75,2543.45,2.9,-3.27,2.75
