,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,Pct_Change,Min_Day_Change,Max_Day_Change
TRENT,2016-11-08,2017-01-03,193.63,7.89,201.75,201.0,-0.37,-3.81,12.14
TATACHEM,2016-11-08,2017-01-03,482.87,14.9,511.7,509.75,-0.38,-4.44,4.1
KTKBANK,2016-11-08,2017-01-03,110.33,5.72,116.7,116.25,-0.39,-7.48,4.97
SHK,2016-11-08,2017-01-03,295.31,7.86,306.35,305.15,-0.39,-6.66,5.1
PFS,2016-11-08,2017-01-03,38.23,1.19,38.7,38.55,-0.39,-5.54,6.98
SUNTV,2016-11-08,2017-01-03,483.48,22.53,525.7,523.55,-0.41,-6.08,12.8
ESSELPACK,2016-11-08,2017-01-03,243.35,8.02,248.15,246.95,-0.48,-3.78,4.06
SPARC,2016-11-08,2017-01-03,312.94,8.07,310.75,309.2,-0.5,-4.74,3.59
BANKINDIA,2016-11-08,2017-01-03,114.45,5.69,109.0,108.35,-0.6,-3.58,13.12
NH,2016-11-08,2017-01-03,339.33,5.92,341.65,339.45,-0.64,-3.62,3.27
RENUKA,2016-11-08,2017-01-03,13.71,0.47,14.85,14.75,-0.67,-5.72,6.14
SANOFI,2016-11-08,2017-01-03,4263.59,62.36,4293.65,4264.75,-0.67,-3.26,2.39
RELAXO,2016-11-08,2017-01-03,406.07,7.99,402.85,399.35,-0.87,-4.35,3.41
GDL,2016-11-08,2017-01-03,234.15,7.92,250.35,248.1,-0.9,-4.69,5.44
ALLCARGO,2016-11-08,2017-01-03,172.73,7.53,185.75,184.05,-0.92,-7.95,5.59
MARICO,2016-11-08,2017-01-03,251.99,5.34,260.35,257.75,-1.0,-7.56,3.52
GAYAPROJ,2016-11-08,2017-01-03,627.21,20.27,667.35,660.35,-1.05,-6.58,5.15
TATASTEEL,2016-11-08,2017-01-03,405.25,15.27,408.65,403.3,-1.31,-7.84,9.43
SIEMENS,2016-11-08,2017-01-03,1099.04,25.2,1123.8,1108.5,-1.36,-3.49,3.41
GILLETTE,2016-11-08,2017-01-03,4292.18,44.27,4301.8,4238.75,-1.47,-2.18,3.22
DRREDDY,2016-11-08,2017-01-03,3144.82,80.62,3119.0,3072.4,-1.49,-3.01,5.24
BPCL,2016-11-08,2017-01-03,630.99,16.6,660.55,650.55,-1.51,-3.59,3.98
APLAPOLLO,2016-11-08,2017-01-03,894.58,22.46,940.05,925.15,-1.59,-4.92,3.05
ABIRLANUVO,2016-11-08,2017-01-03,1228.08,48.36,1313.45,1291.55,-1.67,-8.12,4.66
HINDUNILVR,2016-11-08,2017-01-03,820.75,16.49,844.6,829.85,-1.75,-2.05,2.78
OFSS,2016-11-08,2017-01-03,3095.79,83.08,3222.8,3166.3,-1.75,-2.96,2.97
MFSL,2016-11-08,2017-01-03,542.37,15.49,565.15,555.0,-1.8,-11.67,8.04
BAJAJFINSV,2016-11-08,2017-01-03,2891.13,132.36,3072.05,3016.65,-1.8,-6.42,4.8
NLCINDIA,2016-11-08,2017-01-03,77.01,1.71,80.05,78.55,-1.87,-5.41,2.55
LAXMIMACH,2016-11-08,2017-01-03,3908.61,92.3,4105.6,4027.2,-1.91,-4.11,3.25
MAGMA,2016-11-08,2017-01-03,101.07,4.41,106.1,104.05,-1.93,-7.8,7.8
SINTEX,2016-11-08,2017-01-03,75.55,2.72,82.6,81.0,-1.94,-4.38,7.78
LT,2016-11-08,2017-01-03,1361.81,18.85,1397.2,1367.2,-2.15,-2.04,2.24
GRANULES,2016-11-08,2017-01-03,108.94,4.07,114.1,111.65,-2.15,-5.94,4.9
RALLIS,2016-11-08,2017-01-03,196.94,6.23,209.5,204.9,-2.2,-5.01,5.85
AARTIIND,2016-11-08,2017-01-03,705.36,14.73,719.35,703.4,-2.22,-3.32,6.14
NCC,2016-11-08,2017-01-03,79.36,2.88,85.95,84.0,-2.27,-8.09,5.42
TATAGLOBAL,2016-11-08,2017-01-03,121.28,2.8,127.45,124.45,-2.35,-5.38,3.68
SUZLON,2016-11-08,2017-01-03,14.4,0.4,14.6,14.25,-2.4,-5.42,5.99
RDEL,2016-11-08,2017-01-03,53.54,1.93,57.1,55.7,-2.45,-5.28,3.94
BRFL,2016-11-08,2017-01-03,141.93,5.13,152.2,148.45,-2.46,-7.57,11.45
JINDALSTEL,2016-11-08,2017-01-03,70.34,3.14,72.2,70.4,-2.49,-5.81,8.99
ICRA,2016-11-08,2017-01-03,3976.13,63.61,4049.3,3947.85,-2.51,-2.81,2.6
UNIONBANK,2016-11-08,2017-01-03,139.29,10.27,129.55,126.25,-2.55,-5.32,11.15
ORISSAMINE,2016-11-08,2017-01-03,2141.63,82.25,2334.35,2272.35,-2.66,-6.2,9.55
DBCORP,2016-11-08,2017-01-03,361.95,8.13,380.3,370.0,-2.71,-2.79,2.56
KWALITY,2016-11-08,2017-01-03,126.06,5.75,134.85,131.15,-2.74,-6.29,6.4
MOTILALOFS,2016-11-08,2017-01-03,508.44,23.29,533.65,518.8,-2.78,-9.65,8.72
DISHMAN,2016-11-08,2017-01-03,228.25,11.14,236.7,230.1,-2.79,-5.9,4.84
SUPREMEIND,2016-11-08,2017-01-03,878.34,33.69,913.05,887.6,-2.79,-4.68,5.15
MARUTI,2016-11-08,2017-01-03,5142.32,186.19,5669.0,5508.4,-2.83,-5.6,3.97
POLARIS,2016-11-08,2017-01-03,156.41,6.85,159.95,155.4,-2.84,-11.77,10.02
JSWENERGY,2016-11-08,2017-01-03,58.56,2.12,62.4,60.6,-2.88,-6.38,6.26
SBIN,2016-11-08,2017-01-03,259.45,9.77,252.65,244.9,-3.07,-6.69,8.19
CANFINHOME,2016-11-08,2017-01-03,1588.11,103.28,1711.1,1657.85,-3.11,-20.0,10.2
SBBJ,2016-11-08,2017-01-03,707.67,24.71,686.25,664.7,-3.14,-6.27,8.3
MRF,2016-11-08,2017-01-03,50005.82,1889.52,52046.7,50391.4,-3.18,-4.91,3.33
NAUKRI,2016-11-08,2017-01-03,883.72,30.33,913.65,884.35,-3.21,-3.07,7.06
LICHSGFIN,2016-11-08,2017-01-03,540.81,20.31,549.0,531.3,-3.22,-7.79,6.83
STAR,2016-11-08,2017-01-03,1068.58,25.02,1083.35,1048.5,-3.22,-3.3,3.61
INGERRAND,2016-11-08,2017-01-03,672.05,13.7,706.95,683.2,-3.36,-3.94,3.31
UNICHEMLAB,2016-11-08,2017-01-03,263.13,6.0,269.9,260.75,-3.39,-4.1,3.38
TVSMOTOR,2016-11-08,2017-01-03,365.02,10.43,390.95,377.4,-3.47,-4.73,4.29
GUJGASLTD,2016-11-08,2017-01-03,535.94,12.44,554.15,534.65,-3.52,-4.08,1.92
PIIND,2016-11-08,2017-01-03,826.27,27.46,857.5,827.35,-3.52,-4.39,10.06
GMRINFRA,2016-11-08,2017-01-03,11.67,0.36,12.7,12.25,-3.54,-5.91,4.35
MONSANTO,2016-11-08,2017-01-03,2263.57,17.24,2332.35,2248.4,-3.6,-1.76,0.8
BOSCHLTD,2016-11-08,2017-01-03,20020.72,801.05,21580.9,20798.6,-3.62,-4.26,3.93
COALINDIA,2016-11-08,2017-01-03,303.36,10.78,317.05,305.3,-3.71,-4.56,5.09
MYSOREBANK,2016-11-08,2017-01-03,556.18,19.35,541.1,520.9,-3.73,-6.08,8.26
DENABANK,2016-11-08,2017-01-03,34.53,1.69,34.7,33.4,-3.75,-4.32,12.91
LITL,2016-11-08,2017-01-03,3.72,0.15,4.0,3.85,-3.75,-5.19,4.23
ASTRAZEN,2016-11-08,2017-01-03,947.79,13.74,974.35,937.45,-3.79,-2.59,4.54
WABCOINDIA,2016-11-08,2017-01-03,5080.66,146.07,5456.1,5247.95,-3.81,-2.99,11.34
SBT,2016-11-08,2017-01-03,556.66,19.77,540.45,519.45,-3.89,-6.28,8.16
AVANTIFEED,2016-11-08,2017-01-03,493.83,9.77,510.65,490.55,-3.94,-2.32,3.21
JCHAC,2016-11-08,2017-01-03,1376.03,65.47,1431.65,1375.25,-3.94,-7.09,11.52
ABB,2016-11-08,2017-01-03,1051.37,12.96,1088.35,1045.35,-3.95,-3.37,1.88
OMAXE,2016-11-08,2017-01-03,159.04,1.92,166.25,159.65,-3.97,-3.01,2.22
JAGRAN,2016-11-08,2017-01-03,173.16,5.82,188.0,180.4,-4.04,-2.84,3.49
TAKE,2016-11-08,2017-01-03,134.55,5.92,142.95,137.05,-4.13,-4.51,10.53
IOB,2016-11-08,2017-01-03,25.0,0.59,25.45,24.4,-4.13,-3.54,8.76
INDOCO,2016-11-08,2017-01-03,268.23,12.74,275.5,264.0,-4.17,-3.48,5.5
TTKPRESTIG,2016-11-08,2017-01-03,5409.91,227.5,5966.6,5715.75,-4.2,-6.33,3.75
UPL,2016-11-08,2017-01-03,644.36,26.54,684.4,655.0,-4.3,-7.22,5.0
BASF,2016-11-08,2017-01-03,1085.28,50.37,1208.6,1156.2,-4.34,-5.37,6.77
FINCABLES,2016-11-08,2017-01-03,409.74,13.94,430.85,411.7,-4.44,-11.38,7.51
DISHTV,2016-11-08,2017-01-03,86.42,2.99,89.45,85.4,-4.53,-5.47,7.47
GRASIM,2016-11-08,2017-01-03,847.94,33.1,910.7,869.1,-4.57,-8.87,3.99
CARBORUNIV,2016-11-08,2017-01-03,253.22,7.93,266.05,253.8,-4.6,-3.27,2.92
UFLEX,2016-11-08,2017-01-03,264.78,12.06,291.05,277.65,-4.6,-7.88,8.72
FLFL,2016-11-08,2017-01-03,124.76,5.39,137.4,131.05,-4.62,-7.09,5.71
RELINFRA,2016-11-08,2017-01-03,474.65,17.28,501.9,478.4,-4.68,-6.64,6.4
REDINGTON,2016-11-08,2017-01-03,94.7,2.21,99.9,95.2,-4.7,-4.86,5.55
ITC,2016-11-08,2017-01-03,233.25,7.44,255.6,243.35,-4.79,-3.23,4.02
SOBHA,2016-11-08,2017-01-03,249.85,8.07,270.05,256.7,-4.94,-4.84,7.47
AJANTPHARM,2016-11-08,2017-01-03,1814.26,58.47,1891.1,1797.35,-4.96,-6.12,3.13
HINDALCO,2016-11-08,2017-01-03,168.87,8.53,167.4,158.85,-5.11,-4.9,8.42
HDFCBANK,2016-11-08,2017-01-03,1201.97,30.08,1254.3,1189.9,-5.13,-1.65,2.18
BHUSANSTL,2016-11-08,2017-01-03,40.65,1.11,43.4,41.15,-5.18,-4.81,4.02
YESBANK,2016-11-08,2017-01-03,1169.0,38.41,1226.45,1162.9,-5.18,-5.84,5.83
APOLLOTYRE,2016-11-08,2017-01-03,189.09,5.84,197.55,187.25,-5.21,-4.04,3.69
INOXLEISUR,2016-11-08,2017-01-03,226.63,8.84,246.75,233.7,-5.29,-6.21,2.38
PERSISTENT,2016-11-08,2017-01-03,609.65,16.55,662.9,627.8,-5.29,-4.16,2.62
CADILAHC,2016-11-08,2017-01-03,377.38,18.9,374.65,354.8,-5.3,-5.79,5.62
INFRATEL,2016-11-08,2017-01-03,357.73,15.52,360.65,341.5,-5.31,-5.75,6.93
BALLARPUR,2016-11-08,2017-01-03,15.67,0.65,16.8,15.9,-5.36,-6.01,8.42
TRITURBINE,2016-11-08,2017-01-03,118.79,3.55,127.15,120.3,-5.39,-4.25,2.62
TIDEWATER,2016-11-08,2017-01-03,5677.72,131.54,5957.45,5632.1,-5.46,-3.26,1.97
CARERATING,2016-11-08,2017-01-03,1375.3,49.49,1394.55,1318.25,-5.47,-4.08,4.85
