,Symbols,Week_Change
251,LAXMIMACH,-3.001997272018717
252,DYNAMATECH,-2.964608549103723
253,GREAVESCOT,-2.944507361268386
254,CARBORUNIV,-2.9317797406502577
255,PRAJIND,-2.9253731343283618
256,NHPC,-2.8735632183908044
257,GLAXO,-2.870997961095501
258,GMDCLTD,-2.8476506881822496
259,JETAIRWAYS,-2.80192131747484
260,IDFC,-2.7711797307996835
261,APLAPOLLO,-2.7551725972022743
262,NIITTECH,-2.7378759975445
263,THOMASCOOK,-2.732113915258151
264,BAJAJCORP,-2.684314695695192
265,JMTAUTOLTD,-2.666666666666664
266,SHK,-2.644034600946637
267,MAHINDCIE,-2.642380708055416
268,TEXRAIL,-2.639019792648442
269,KSCL,-2.632229362333177
270,COFFEEDAY,-2.613941018766766
271,CEATLTD,-2.597799511002445
272,IOC,-2.5749725231590483
273,DEN,-2.5641025641025643
274,WOCKPHARMA,-2.548027293098674
275,GDL,-2.5164769322947804
276,AARTIIND,-2.509209703204291
277,BIRLACORPN,-2.502727331065905
278,OFSS,-2.500930867568585
279,APLLTD,-2.4557657107992714
280,APOLLOTYRE,-2.455074664641874
281,EIDPARRY,-2.4455483377913554
282,DBCORP,-2.445437812253487
283,CHAMBLFERT,-2.44299674267101
284,BEML,-2.4130159951629673
285,ICICIBANK,-2.401129943502829
286,SYMPHONY,-2.3955821731352533
287,ADANITRANS,-2.386117136659439
288,FINPIPE,-2.3860438942037194
289,NETWORK18,-2.363184079601997
290,DISHTV,-2.347680268306326
291,NAUKRI,-2.3148908225250344
292,CONCOR,-2.3137269079208997
293,PIIND,-2.297407020146861
294,CARERATING,-2.2911099747192956
295,JUBILANT,-2.2741679873217153
296,MPHASIS,-2.2498060512024867
297,EIHOTEL,-2.226345083487933
298,RELINFRA,-2.211595935445301
299,ASTRAL,-2.1645021645021645
300,NATIONALUM,-2.119460500963394
301,MRPL,-2.089215132693387
302,CRISIL,-2.0889503137956775
303,JSWENERGY,-2.083333333333329
304,WIPRO,-2.080794687327062
305,BHUSANSTL,-2.073732718894006
306,AVANTIFEED,-2.065994320963469
307,ZYDUSWELL,-2.0616708497669416
308,MONSANTO,-2.0429971554187905
309,SHILPAMED,-2.034482758620682
310,GILLETTE,-2.0306489247651
311,TUBEINVEST,-1.9717410393549968
312,RKFORGE,-1.9637462235649548
313,HMVL,-1.954397394136804
314,NLCINDIA,-1.936289818863207
315,DIVISLAB,-1.9276334283763705
316,BLUEDART,-1.8635859047282124
317,CUB,-1.8139840492094954
318,STAR,-1.735357917570495
319,DREDGECORP,-1.7164179104477555
320,LINDEINDIA,-1.7084890093836296
321,ABIRLANUVO,-1.6673645742129575
322,BPCL,-1.6577094845204652
323,BAJAJFINSV,-1.6340847316938223
324,SANOFI,-1.6233274719644084
325,ABB,-1.6033445123351697
326,NTPC,-1.5893610120013084
327,BALKRISIND,-1.5871451104100969
328,GLENMARK,-1.5729585006693467
329,INDUSINDBK,-1.5400495458299002
330,IPCALAB,-1.4899211218229622
331,BIOCON,-1.4769230769230821
332,VTL,-1.4388158499586365
333,SUPREMEIND,-1.4183232024533083
334,CAPLIPOINT,-1.4092215077301895
335,ADANIENT,-1.3117283950617198
336,FINCABLES,-1.3113612626204094
337,BEL,-1.3037216705828885
338,TVTODAY,-1.2942576614103012
339,GRASIM,-1.2847260349181997
340,INDIGO,-1.2728547543282407
341,MFSL,-1.2651508449084274
342,NMDC,-1.2553942722636395
343,ZEELEARN,-1.1826544021024856
344,BHARTIARTL,-1.1479173499508035
345,TIDEWATER,-1.0994636967158768
346,3MINDIA,-1.0658581564717395
347,AEGISCHEM,-1.05418901424082
348,APOLLOHOSP,-1.0475706523863573
349,PNCINFRA,-0.9922346850733439
350,YESBANK,-0.9417424273309107
351,APARINDS,-0.9119332985930171
352,FAGBEARING,-0.9070216581597421
353,JSWHL,-0.8542732904913926
354,TORNTPHARM,-0.7606876616461281
355,KRBL,-0.7479742364429717
356,GSPL,-0.7436146136437153
357,MANPASAND,-0.7405824966175222
358,IGL,-0.7258579641135823
359,JYOTHYLAB,-0.7225232735862227
360,ATUL,-0.7009882785566537
361,SJVN,-0.671140939597313
362,SIEMENS,-0.6228866346324969
363,LT,-0.6012024048096257
364,GUJGASLTD,-0.5955066317783911
365,KARURVYSYA,-0.5890542874787558
366,RELAXO,-0.5709321087253348
367,ASTRAZEN,-0.5542156309334405
368,OIL,-0.5126953125000056
369,HINDPETRO,-0.487804878048778
370,MERCK,-0.38010967098703324
371,SUZLON,-0.34246575342465024
372,ALLCARGO,-0.2960969044414597
373,LALPATHLAB,-0.2659349936682221
374,PETRONET,-0.2350013823610633
375,GAIL,-0.19357777271692614
376,RELIANCE,-0.17438963627304435
377,HATHWAY,-0.16155088852988922
378,TIMKEN,-0.09834599910593733
379,CYIENT,-0.054537521815008726
380,GESHIP,-0.02762812543168004
381,SADBHAV,-0.018096272167937518
382,FSL,0.0
383,ABFRL,0.0
384,VRLLOG,0.017841213202501826
385,PGHH,0.020260146106253794
386,KITEX,0.037142503404723845
387,TRITURBINE,0.03932363350373351
388,VIDEOIND,0.04803073967340189
389,IPAPPM,0.06801564359802367
390,NH,0.13171374213377593
391,SITINET,0.14306151645206625
392,VAKRANGEE,0.1534036433365205
393,MAYURUNIQ,0.16770483948252168
394,RELIGARE,0.18649757553151808
395,UNICHEMLAB,0.20377917747314242
396,CESC,0.25339978038685695
397,FEDERALBNK,0.25940337224384286
398,VSTIND,0.28083108449066857
399,DEEPAKFERT,0.33581194531063424
400,LAKSHVILAS,0.425114453891436
401,MARKSANS,0.4255319148936231
402,KOTAKBANK,0.468095590046818
403,SAIL,0.4887585532746823
404,RAIN,0.5010020040080161
405,SHARDACROP,0.5598460423383592
406,SKFINDIA,0.8248440198808591
407,GRINDWELL,0.9615384615384687
408,MRF,1.0187005131929678
409,ZENSARTECH,1.0197072964547975
410,TATASPONGE,1.0419473636935361
411,ICRA,1.04462499691304
412,ONGC,1.0532150776053089
413,TECHNO,1.0813508567626018
414,HONAUT,1.132676675466033
415,INFRATEL,1.2616109801746878
416,CENTRALBK,1.3340744858254616
417,PFIZER,1.4664569052702627
418,CADILAHC,1.4947311222402535
419,SOUTHBANK,1.525054466230943
420,SUVEN,1.531480431083374
421,BHARATFORG,1.5595574755074733
422,IOB,1.5717092337917569
423,AXISBANK,1.6094529897117198
424,HDFCBANK,1.7141034840149885
425,ASHOKA,1.786853860880671
426,BALRAMCHIN,1.8917729872415234
427,TATACOMM,2.1097391446561415
428,KWALITY,2.1505376344086065
429,AUROPHARMA,2.190167405544904
430,COALINDIA,2.2078536508437154
431,ENGINERSIN,2.2510492178557713
432,CIPLA,2.3631646247554725
433,POLARIS,2.375742419506103
434,IDBI,2.5107604017216643
435,KSBPUMPS,2.533812703304221
436,ANDHRABANK,2.5471698113207575
437,PFS,2.5839793281653747
438,JBCHEPHARM,2.608449106889705
439,IDFCBANK,2.627939142461972
440,JUSTDIAL,2.714702524419649
441,DISHMAN,2.788339670468958
442,CAIRN,2.8553946563328574
443,HINDALCO,2.927120669056156
444,PFC,3.184991273996515
445,SPARC,3.201930812550278
446,ALKEM,3.2186145826791437
447,THERMAX,3.3436786320782286
448,POWERGRID,3.446327683615816
449,FDC,3.516076798519544
450,JINDALSTEL,3.739612188365655
451,SYNGENE,3.789396975769734
452,JSWSTEEL,3.874705775846449
453,KTKBANK,3.941730934018847
454,HINDCOPPER,3.95528804815134
455,TATASTEEL,4.368041110975168
456,DRREDDY,4.400448861814684
457,VEDL,4.525808299940498
458,CANBK,5.140738243721557
459,CORPBANK,5.368289637952574
460,ALBK,5.638829407566028
461,SYNDIBANK,5.820895522388068
462,RECLTD,6.060606060606056
463,INDOCO,6.352087114337568
464,ORIENTBANK,6.462731581214994
465,BALMLAWRIE,7.395644283121607
466,MYSOREBANK,7.484753280354832
467,SBT,7.51225830326578
468,SBBJ,7.708561020036427
469,BANKBARODA,7.754279959718034
470,KEC,7.813098429720404
471,SBIN,8.054621017217492
472,DHANUKA,8.158950054684658
473,SUNPHARMA,8.278246513117823
474,NATCOPHARM,8.476948648412222
475,DENABANK,9.365994236311238
476,WABAG,9.653253424657526
477,PNB,10.739687055476526
478,UNIONBANK,11.076804322655342
479,UCOBANK,11.411411411411427
480,BANKINDIA,11.97247706422018
481,WELCORP,13.220599538816309
482,INDIANB,15.972222222222221
483,VIJAYABANK,16.96535244922342
484,SWANENERGY,18.87709991158267
