,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,Pct_Change,Min_Day_Change,Max_Day_Change
PFS,2016-08-18,2017-01-03,38.11,1.22,37.05,38.55,4.05,-6.4,9.28
IGARASHI,2016-08-18,2017-01-03,739.06,37.32,696.6,724.7,4.03,-6.39,8.54
CIPLA,2016-08-18,2017-01-03,572.81,17.28,552.65,573.65,3.8,-4.7,7.11
NIITTECH,2016-08-18,2017-01-03,415.01,12.52,415.2,430.9,3.78,-6.59,4.61
KPIT,2016-08-18,2017-01-03,132.27,4.6,130.85,135.55,3.59,-8.01,4.15
LAXMIMACH,2016-08-18,2017-01-03,4096.2,221.05,3888.0,4027.2,3.58,-5.65,6.35
POWERGRID,2016-08-18,2017-01-03,181.1,4.44,182.0,188.05,3.32,-3.96,4.58
EXIDEIND,2016-08-18,2017-01-03,184.72,8.96,177.2,183.0,3.27,-6.48,4.32
DCMSHRIRAM,2016-08-18,2017-01-03,221.82,15.86,215.75,222.6,3.17,-8.68,14.2
BGRENERGY,2016-08-18,2017-01-03,114.14,4.12,114.2,117.8,3.15,-6.15,6.31
JKTYRE,2016-08-18,2017-01-03,132.47,15.43,113.1,116.55,3.05,-9.74,12.5
STAR,2016-08-18,2017-01-03,1028.21,49.28,1017.7,1048.5,3.03,-5.62,11.46
HINDALCO,2016-08-18,2017-01-03,160.2,10.02,154.35,158.85,2.92,-9.04,8.42
JMFINANCIL,2016-08-18,2017-01-03,69.38,6.78,66.6,68.45,2.78,-16.05,12.22
BAJAJHLDNG,2016-08-18,2017-01-03,1961.36,134.7,1791.75,1840.75,2.73,-5.47,6.96
GLENMARK,2016-08-18,2017-01-03,899.26,29.82,871.3,893.15,2.51,-4.76,3.63
IPCALAB,2016-08-18,2017-01-03,570.61,34.42,517.4,530.25,2.48,-5.41,6.36
ADANIENT,2016-08-18,2017-01-03,69.32,3.81,74.75,76.55,2.41,-8.78,5.25
SBT,2016-08-18,2017-01-03,544.57,18.46,509.1,519.45,2.03,-6.28,8.16
WHIRLPOOL,2016-08-18,2017-01-03,976.26,90.79,913.95,931.85,1.96,-7.3,6.77
ZYDUSWELL,2016-08-18,2017-01-03,866.5,21.59,852.0,868.05,1.88,-2.42,6.08
FEDERALBNK,2016-08-18,2017-01-03,71.47,4.34,64.95,66.15,1.85,-6.95,8.27
PUNJLLOYD,2016-08-18,2017-01-03,21.64,2.34,19.0,19.35,1.84,-9.53,14.64
CORPBANK,2016-08-18,2017-01-03,43.09,1.9,41.25,42.0,1.82,-8.72,13.51
SITINET,2016-08-18,2017-01-03,35.46,1.23,36.6,37.25,1.78,-4.53,5.09
KALPATPOWR,2016-08-18,2017-01-03,248.93,12.04,260.95,265.45,1.72,-5.23,7.55
